#timestamp,countryCode,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6,Dimension7,Dimension8,Dimension9,Dimension10,Dimension11
5-23-11 9:35 PM,FR,1,1,1,1,1,1,1,1,1,1,1
5-23-11 9:40 PM,FR,5,5,5,1,1,1,1,1,1,1,1
5-23-11 11:37 PM,MX,1,1,1,1,1,1,1,1,1,1,1
5-24-11 6:21 AM,ES,2,3,2,3,2,3,2,3,2,3,2
5-24-11 6:21 AM,US,3,2,1,2,3,4,3,2,3,2,5
5-24-11 6:30 AM,FR,5,1,4,3,5,4,3,5,5,5,5
5-24-11 6:50 AM,FR,1,5,1,1,1,4,1,1,1,1,1
5-24-11 7:03 AM,FR,3,3,5,1,1,1,4,4,1,1,1
5-24-11 7:08 AM,FR,1,5,3,0,1,0,4,2,5,0,0
5-24-11 7:09 AM,FR,1,1,1,1,1,1,1,1,1,1,1
5-24-11 7:10 AM,FR,2,2,2,2,5,5,2,3,4,2,3
5-24-11 7:11 AM,FR,1,1,1,1,5,5,1,1,5,1,1
5-24-11 7:39 AM,FR,1,5,3,0,1,0,4,2,5,0,0
5-24-11 7:48 AM,BE,4,3,4,3,5,3,3,5,4,3,4
5-24-11 7:50 AM,NL,3,3,3,4,5,5,2,4,5,3,4
5-24-11 7:50 AM,NL,3,3,3,4,5,5,2,4,5,3,4
5-24-11 7:51 AM,GB,1,1,1,1,1,1,1,1,1,1,1
5-24-11 7:51 AM,DE,5,4,5,3,5,4,4,4,4,4,5
5-24-11 7:53 AM,RU,5,3,4,3,3,4,2,4,5,3,3
5-24-11 7:54 AM,US,4,4,3,3,5,5,3,4,5,3,3
5-24-11 7:54 AM,DE,4,4,3,3,5,5,3,4,5,3,3
5-24-11 8:04 AM,FR,0,0,0,2,5,5,3,5,5,2,2
5-24-11 8:07 AM,FR,3,3,3,3,5,5,3,5,5,3,3
5-24-11 8:25 AM,FR,1,1,1,5,3,1,1,5,5,3,5
5-24-11 8:25 AM,FR,1,1,1,5,3,1,1,5,5,3,5
5-24-11 8:26 AM,FR,5,1,3,1,5,5,1,5,5,5,1
5-24-11 8:29 AM,FR,1,1,1,5,3,1,1,5,5,3,5
5-24-11 8:30 AM,FR,1,1,1,5,3,1,1,5,5,3,5
5-24-11 8:38 AM,FR,1,5,1,1,1,1,1,1,1,1,1
5-24-11 8:39 AM,BE,2,1,5,5,5,4,5,3,1,1,4
5-24-11 8:51 AM,FR,4,1,3,1,5,1,1,1,5,1,1
5-24-11 8:51 AM,FR,1,0,0,5,1,5,1,1,5,0,1
5-24-11 8:53 AM,CH,4,5,4,3,4,3,2,4,4,4,2
5-24-11 8:55 AM,CH,5,5,4,1,2,5,2,5,5,5,5
5-24-11 8:55 AM,CH,4,5,5,4,5,4,4,5,4,5,3
5-24-11 8:56 AM,CH,4,3,4,3,5,5,5,5,5,4,4
5-24-11 8:56 AM,US,4,3,4,3,5,5,5,5,5,4,4
5-24-11 8:57 AM,FR,1,1,1,5,1,1,1,1,5,1,5
5-24-11 8:57 AM,DE,4,5,4,3,5,3,3,5,5,5,5
5-24-11 9:00 AM,DK,4,3,4,3,4,3,3,4,3,3,3
5-24-11 9:08 AM,FR,1,1,1,0,5,1,5,5,5,5,5
5-24-11 9:11 AM,JP,1,1,1,0,5,1,5,5,5,5,5
5-24-11 9:14 AM,CH,5,4,5,4,5,5,3,5,5,5,3
5-24-11 9:18 AM,BE,4,3,3,3,5,4,2,5,4,3,4
5-24-11 9:19 AM,FR,4,4,3,2,4,2,4,4,5,4,5
5-24-11 9:19 AM,CH,4,5,5,4,5,5,5,5,5,5,4
5-24-11 9:20 AM,SE,4,5,5,4,4,4,3,5,5,3,3
5-24-11 9:21 AM,ES,2,4,5,2,5,4,3,5,5,3,3
5-24-11 9:21 AM,US,2,4,5,2,5,4,3,5,5,3,3
5-24-11 9:21 AM,GB,4,4,5,3,4,3,3,5,5,4,5
5-24-11 9:21 AM,FR,4,4,4,4,5,5,4,5,4,4,4
5-24-11 9:21 AM,DK,3,3,5,3,3,5,3,5,5,3,5
5-24-11 9:21 AM,JP,5,5,1,1,1,1,5,1,1,1,1
5-24-11 9:22 AM,CH,3,4,4,2,3,4,5,4,3,4,3
5-24-11 9:23 AM,DE,4,4,4,3,4,2,2,2,3,3,3
5-24-11 9:23 AM,CH,4,3,4,5,4,3,3,4,5,4,5
5-24-11 9:24 AM,PL,4,4,4,5,5,4,4,5,5,4,5
5-24-11 9:24 AM,NZ,3,5,2,1,5,5,2,5,5,5,5
5-24-11 9:25 AM,JP,4,3,4,5,4,3,3,4,5,4,5
5-24-11 9:26 AM,FR,3,3,4,5,4,3,3,4,5,4,5
5-24-11 9:26 AM,US,4,4,4,3,4,3,3,4,5,4,4
5-24-11 9:26 AM,DE,4,4,4,3,4,3,3,4,5,4,4
5-24-11 9:28 AM,GB,5,5,5,5,1,5,5,5,5,5,5
5-24-11 9:28 AM,GB,5,5,5,5,1,5,5,5,5,5,5
5-24-11 9:29 AM,CH,4,3,4,4,5,4,3,5,3,4,3
