val,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11
0,340,356,342,356,296,331,433,286,275,346,289
0.1,0,0,0,0,0,0,0,0,0,0,0
0.2,0,0,0,0,0,0,0,0,0,0,0
0.3,278,361,288,415,222,237,814,93,154,293,309
0.4,409,502,449,535,354,415,1034,240,333,519,474
0.5,438,506,428,535,368,378,756,343,335,463,434
0.6,705,936,644,1021,478,618,1411,343,348,752,593
0.7,678,970,548,815,369,432,1074,253,275,546,508
0.8,2530,3078,2241,2692,1478,1782,3166,1132,1191,2159,1906
0.9,2223,2333,2117,2186,1331,1647,2285,1148,953,1828,1727
1,2133,1914,2245,1946,1584,1680,1779,1479,1260,1925,1632
1.1,1995,1725,2191,1786,2257,2138,1477,2294,1920,2235,2001
1.2,1775,1453,2012,1773,2889,2548,1280,3241,3197,2253,2533
1.3,1151,914,1248,1139,2160,1925,652,2425,2516,1404,1744
1.4,581,475,628,592,1109,1010,328,1379,1662,733,1007
1.5,483,420,455,392,694,629,200,806,1016,501,636
1.6,253,223,207,223,329,304,110,383,443,280,282
1.7,96,92,84,98,142,126,32,162,179,133,105
1.8,129,128,123,102,184,153,61,178,196,122,149
1.9,76,54,54,50,65,80,25,76,93,61,63
2,17,20,30,17,33,32,10,29,34,25,19
2.1,78,74,79,64,70,67,30,83,69,55,57
2.2,12,13,8,10,10,11,0,13,15,8,23
2.3,7,5,5,3,12,7,1,9,17,8,9
2.4,72,77,74,37,66,60,26,51,76,33,47
2.5,4,3,5,2,6,3,1,2,0,4,2
2.6,10,3,3,5,6,5,4,1,7,1,0
2.7,6,7,7,4,8,7,1,8,11,4,8
2.8,11,18,11,13,15,15,6,19,23,9,23
2.9,53,62,38,13,31,26,13,30,51,13,39
3,1,0,0,0,1,2,0,0,0,0,0
3.1,3,7,5,4,3,4,0,4,4,4,6
3.2,9,2,2,6,5,3,3,10,5,2,2
3.3,1,4,3,1,9,2,2,0,1,1,8
3.4,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,1,0,2,1,1,0,1,1,0
3.6,0,0,0,0,0,0,0,0,0,0,0
3.7,121,76,55,29,67,37,25,65,95,33,86
3.8,0,0,0,0,0,0,0,0,0,0,0
3.9,0,0,0,0,0,0,0,0,0,0,0
4,3,1,1,1,1,2,1,1,3,2,8
4.1,0,0,0,0,0,0,0,0,0,0,0
4.2,0,0,0,0,1,0,0,0,0,0,0
4.3,0,0,1,0,1,0,0,2,1,1,5
4.4,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0
4.6,0,0,1,2,1,0,0,0,0,0,0
4.7,0,0,0,0,0,0,0,0,0,0,0
4.8,0,0,0,0,0,0,0,0,0,1,0
4.9,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0
