lat,lon
-83.5,-180
-84.2,-178
-84.3,-174
-84.4,-170
-84.55,-166
-85.25,-163
-85.25,-158
-85.35,-152
-85.2,-146
-84.5,-147
-84.3,-151
-84,-153.3
-83.3,-153
-83,-154
-82.3,-154
-82,-154
-81.3,-154.3
-81.1,-153
-81,-150
-80.55,-146.3
-80.4,-145.3
-80.2,-148
-80,-150
-79.4,-152.3
-79.15,-155
-78.5,-157
-78.3,-158
-78.25,-156.4
-78.3,-154.3
-78.1,-154.3
-78.5,-156.4
-77.5,-158
-77.3,-158.2
-77.1,-158.4
-77,-157
-77.1,-154
-77.35,-153
-77.5,-150.3
-77.4,-148
-77.15,-146
-76.45,-146
-76.2,-146.2
-75.55,-146.4
-75.5,-144
-75.35,-142
-75.45,-140.4
-75.25,-140
-75.15,-138.2
-75,-136.4
-74.45,-135.3
-74.45,-133
-75,-132
-75.25,-130.5
-75.45,-129.4
-76,-128
-76,-127
-75.4,-126.5
-75.1,-126.2
-74.4,-125.3
-74.2,-124.3
-73.5,-123.2
-73.15,-123.4
-73.15,-122.2
-73.45,-121.2
-74,-120
-73.35,-120
-73.4,-118.2
-73.4,-116.4
-73.5,-116.2
-74.1,-117.4
-74.4,-117.4
-75.1,-116.2
-75.15,-113.4
-75,-112.2
-74.3,-112.3
-74,-112.4
-73.4,-112
-74,-111.3
-74.3,-111
-75,-110.2
-75.1,-108.4
-74.4,-108.3
-74.3,-109.3
-74,-109.3
-74,-108.2
-74.2,-108
-74.4,-108.3
-75.5,-107.3
-75.5,-106
-74.55,-104.3
-74.35,-104.3
-74.35,-102.4
-74.45,-101.2
-75,-100
-74.45,-99.3
-74.2,-101.2
-74,-100.4
-73.45,-101.3
-73.3,-101.3
-73.35,-100
-73.25,-99
-73.5,-100
-73.15,-101.2
-72.45,-102.3
-72.4,-101.2
-73,-101.3
-72.55,-99.4
-73.2,-98.3
-73.5,-98
-73.25,-97.3
-73.45,-97.3
-73.45,-96.2
-73.25,-96
-73.5,-96
-72.55,-97.3
-72.3,-98.3
-72.1,-99.4
-71.55,-101
-71.45,-99.5
-72,-98.2
-71.5,-97
-72.5,-95.4
-72.25,-95.4
-72.35,-94
-72.45,-92.15
-72.55,-90.3
-72.55,-88.45
-72.55,-87
-73.5,-85.3
-72.55,-84.2
-72.5,-83
-72.55,-81.15
-73,-79.3
-73.15,-78.3
-72.5,-78.4
-72.25,-78
-72.35,-76.3
-72.5,-75
-73,-74
-73.3,-74.3
-73.25,-73
-73.2,-71.3
-73.1,-70
-73.5,-68.3
-72.5,-67.3
-72.2,-67
-71.5,-67
-71.3,-67.3
-70.55,-67.3
-70.25,-68
-70,-68.3
-69.25,-68.3
-69.25,-67.2
-69.5,-66.4
-68.5,-67.2
-68.3,-66.5
-68.5,-66.5
-67.45,-67.3
-67.25,-67.3
-67.45,-68.3
-67.45,-69.15
-67.2,-69.2
-66.55,-68.4
-66.4,-67.5
-67.5,-67.4
-67,-67
-67.2,-66.2
-66.5,-66.2
-66.35,-65.3
-66.15,-65.5
-65.55,-65
-65.3,-64
-65.5,-64
-65.1,-63
-64.45,-62.4
-64.4,-61.4
-64.15,-61.3
-64,-61
-63.5,-59.4
-63.35,-58.5
-63.2,-58
-63.15,-57.1
-63.35,-56.4
-63.35,-57.2
-63.5,-58.1
-63.5,-57.15
-64.25,-57.2
-64.2,-58.1
-64,-58.4
-64.3,-59
-64.2,-59.4
-64.4,-60.3
-65,-61.2
-65.25,-62
-65.45,-62.1
-66.5,-62.2
-66.3,-62.4
-66.15,-63.3
-66.3,-64
-66.55,-63.4
-66.55,-64.4
-67.2,-65.2
-67.5,-65.3
-68.5,-64.5
-68.2,-65.2
-68.45,-64.5
-68.45,-63.4
-69.5,-62.4
-69.4,-62.2
-70.1,-62
-70.35,-61.3
-70.55,-61.4
-71.1,-61
-71.35,-60.5
-72,-61.4
-72.2,-60.5
-72.4,-61
-73,-59.5
-73.2,-60.1
-73.25,-61.3
-73.45,-61
-74.2,-60.4
-74.4,-61.4
-75.5,-61.4
-75.1,-63
-75.4,-63
-76.5,-63.4
-76.3,-65.3
-77,-67.2
-77.1,-65
-77.5,-62.3
-77.5,-60
-77.15,-57.4
-77.35,-56
-77.55,-53.4
-78.15,-51.4
-78.3,-49.2
-78.45,-47.4
-78.5,-44
-78.5,-41
-78.45,-38.3
-78.2,-36.2
-77.5,-35
-77.3,-33.2
-77.1,-31.4
-76.5,-30
-76.3,-28.2
-76.5,-27
-75.4,-26
-75.2,-24
-74.45,-23.4
-74.25,-22.2
-74.5,-20.4
-73.45,-19.2
-73.25,-17.4
-73.5,-16.2
-72.55,-14.4
-72.5,-13.3
-72.35,-12.2
-72.15,-11.2
-71.55,-11.1
-71.4,-12
-71.2,-12.1
-71.15,-11.3
-71.35,-11
-71.15,-10.3
-71,-9.45
-71.1,-9
-71.25,-8.4
-71.5,-8.3
-71.4,-7.2
-71.25,-7.4
-71.5,-7.2
-70.5,-7.4
-70.45,-6.5
-70.45,-5.5
-71,-5.5
-71.2,-6
-71.2,-4.3
-71.15,-3
-70.4,-3
-70.25,-3.2
-70.15,-2.3
-70.25,-1.4
-70.4,-1
-71,-1.3
-71.15,-0.4
-71.3,0
-71.3,0
-71.15,1.2
-70.55,2.4
-70.35,3.3
-70.2,4.4
-70.2,6.2
-70.5,7.2
-70.5,8.4
-70.1,10
-70.5,11.2
-70.5,12.4
-70.1,14.2
-70.1,15.4
-70.1,17
-70.1,18.2
-70.2,20
-70.25,21.3
-70.35,23
-70.25,24.4
-70.1,25.2
-70.1,27
-69.55,28.2
-69.5,30
-69.35,31.2
-69.3,32
-69.3,33.3
-69,33.2
-68.4,33.3
-68.35,34.2
-68.55,35
-69.2,36
-69.3,37
-69.35,38.2
-70.5,38.4
-69.4,39.2
-69.3,39.5
-69.1,39.5
-68.5,40
-68.3,41.2
-68.1,42
-67.5,43.2
-67.45,44.3
-67.45,46
-67.35,47
-67.4,48.1
-67.25,48.3
-67.25,49.2
-67.5,49.5
-67.35,50.3
-67,50.1
-66.3,50.3
-66.15,51.3
-65.55,52.1
-65.5,53.4
-65.55,55.1
-66.15,56
-66.25,57.1
-66.4,57.1
-66.45,56.2
-66.55,57
-67,58
-67.1,59
-67.3,59.2
-67.2,60.4
-67.35,61.4
-67.4,62.4
-67.3,63.4
-67.35,65
-67.45,66.2
-67.5,67.4
-67.5,68.4
-67.4,69.3
-68.1,69.3
-68.35,70
-69,70.3
-69.1,69.3
-69.35,69.5
-70.5,69.5
-70.3,70.4
-70.25,71.4
-70.5,71
-69.45,72.2
-69.35,73.3
-69.4,74.3
-69.5,75.3
-69.3,76.1
-69.1,77.1
-69.5,78
-68.3,78.2
-68.15,79
-68,80.3
-67.5,81.4
-67.2,82.3
-67.1,83.4
-67,85
-66.5,86.2
-66.4,87.4
-66.45,88.3
-66.45,89.4
-66.4,91
-66.3,92
-66.35,93
-66.35,94
-66.3,95
-66.4,96
-66.3,97
-66.4,97.4
-66.3,98.3
-66.35,99.2
-66.25,100
-66.25,100.4
-66.5,101.3
-65.5,102.4
-65.55,104
-66.5,105
-66.15,106
-66.3,107
-66.35,108
-66.5,109
-66.35,109.3
-66.4,110.2
-66.25,110.4
-66.5,110.4
-65.55,111.4
-65.5,112.4
-65.45,113.4
-66,114.3
-66.2,115.3
-66.3,116.3
-66.45,117.4
-66.5,119
-66.5,120.2
-66.4,121.3
-66.25,122.3
-66.45,123.2
-66.45,124.2
-66.3,124.5
-66.35,125.5
-66.15,126.3
-66.15,127
-66.3,127.4
-66.55,128.2
-67,129
-67.1,129.3
-66.55,130
-66.2,130
-66.5,130.5
-66.1,132
-66.5,133.2
-66.1,134.2
-66.5,135.2
-66.2,136.2
-66.2,137.2
-66.3,138.2
-66.35,139.2
-66.4,140.3
-66.45,142
-67,142.3
-66.5,143.2
-67,144.2
-67.3,144.2
-67.35,145
-67.3,146
-67.5,146.5
-68.15,147
-68.25,148.2
-68.15,149
-68.3,150.2
-68.2,151
-68.4,151.3
-68.35,152.4
-68.35,154.2
-69.5,155
-69.2,156
-69,156.3
-69.5,157.3
-69.15,158.4
-69.3,160
