geonameid,name,asciiname,alternatenames,latitude,longitude
291074,Ra’s al Khaymah,Ra's al Khaymah,"Julfa,Khaimah,Ra's al Khaymah,Ras al Khaima,Ras al Khaimah,Ra’s al Khaymah,R?s al Khaima,ras alkhymt,??? ??????",25.78953,55.9432
292223,Dubai,Dubai,"DXB,Dabei,Dibai,Dibay,Doubayi,Dubae,Dubai,Dubai emiraat,Dubaj,Dubajo,Dubajus,Dubay,Dubayy,Dubaï,Dúbæ,Fort Dabei,dby,dbyy,di bai,dobai,du bai,duba'i,dubai,dubi,tupay,?????,?????,?????,????,???,???,????,??????,????,???,??,??,???",25.25817,55.30472
292672,Sharjah,Sharjah,"Al Sharjah,Ash 'Mariqah,Ash Shariqa,Ash Shariqah,Ash Sh?riqa,Ash Sh?riqah,Ash ’Mariqah,Ash-Shariqah' emiraat,Ash-Sh?riqah' emiraat,SHJ,Sarjo,Schardscha,Shardzha,Sharga,Sharijah,Shariqah,Sharja,Sharjah,Sharzha,Sh?rijah,Sh?riqah,Sh?rja,alsharqt,carja,sharjh,sharqt,sharuja,xia er jia,?ar?o,??????,?????,????'?,???????,?????,?????,??????,??????,???",25.35731,55.4033
292913,Al ‘Ayn,Al `Ayn,"Al Ain,Al Ajn,Al `Ayn,Al ‘Ayn,Al'-Ajn,Al-Ain,Al-Ayn,???-???,?????",24.19167,55.76056
292932,`Ajm?n,`Ajman,"Ajman,Al Ajman,`Ujman,`Ujm?n",25.41111,55.43504
292968,Abu Dhabi,Abu Dhabi,"AEbu Saby,AUH,Abu Dabi,Abu Dabis,Abu Dhabi,Abu Dhabi emiraat,Abu Zabi,Abu Zaby,Abu Zabye,Abu Zabyo,Abu ?abi,Abu-Dabi,Abu-Dabio,Abud Dhabi,Abú Dabí,Abú Dhabí,Abú Zabí,Ab? Z?aby,Ab? Z?abye,Ab? Z?abyo,Ab? Z?ab?,Ampou Ntampi,Emirato de Abu Dabi,a bu zha bi,abudabi,abwzby,Äbu Saby,????? ??????,????? ??????,??? ????,???-????,???-????,??? ????,??????,????,????,????",24.46667,54.36667
1133616,Maz?r-e Shar?f,Mazar-e Sharif,"Masar-e Scharif,Mazar-e Sarif,Mazar-e Sharif,Mazar-e Šarif,Mazar-e-Sharif,Mazar-i Szarif,Mazar-i-Sharif,Mazare Srif,Mazari Sharif,Mazari-Sharif,Maz?r-e Shar?f,Maz?r-e Šar?f,Maz?r-i-Shar?f,Maz?re S?r?f,majaleu-isyalipeu,mazarisharifu,mzar shryf,??????-?????,???? ????,???? ????,?????????,???????",36.70904,67.11087
1135689,Kunduz,Kunduz,"Kondoz,Konduz,Kond?z,Kundus,Kunduz,Kund?z,Qonduz,Qond?z,Qunduz,Qun??z,Shahr-e Qondoz,UND,kndwz,kndz,kundo~uzu zhou,kundujeu ju,qndz,??????,????,????,?????,??????,??? ?",36.72896,68.857
1138336,Kandah?r,Kandahar,"Candahar,Kandagar,Kandahar,Kandaharo,Kandah?r,Kandhar,Qandahar,Qandah?r,Qan?ah??,kan da ha,kandaharu,kndhar,qndhar,????????,??????,??????,??????,??????,???",31.61332,65.71013
1138958,Kabul,Kabul,"Cabool,Caboul,Cabul,Cabul - kabl,Cabul - ????,Cabúl,Caubul,KBL,Kabil,Kaboel,Kabol,Kaboul,Kabul,Kabula,Kabulas,Kabuli,Kabulo,Kabura,Kabúl,Kabûl,Kampoul,Kobul,Kubha,Kábul,K?bol,kabl,kabul,kabula,kabuli,kaburu,kabwl,kapul,ke bu er,khabul,???????,?????,?????,??????,?????,????,?????,????,?????,?????,??????,?????,?????,??????,???,????,????,???,??",34.52813,69.17233
