lat,lon
48.839074,2.251768
48.842435,2.251339
48.845457,2.252755
48.845627,2.250566
48.84783,2.242241
48.849778,2.239902
48.853506,2.224238
48.856527,2.224517
48.863162,2.227478
48.865336,2.228336
48.869034,2.231555
48.87149,2.238765
48.87276,2.241468
48.876345,2.245502
48.874087,2.255116
48.880296,2.258549
48.878038,2.277603
48.878927,2.280006
48.883019,2.280886
48.886434,2.285564
48.889468,2.291808
48.889834,2.29507
48.893912,2.303245
48.894561,2.304919
48.897565,2.311957
48.899794,2.31878
48.900725,2.320411
48.902107,2.38457
48.900824,2.390964
48.898369,2.395535
48.895858,2.396908
48.893728,2.398024
48.890328,2.398732
48.886011,2.399225
48.885319,2.399247
48.883824,2.400062
48.882568,2.401628
48.881256,2.404504
48.880254,2.409353
48.876782,2.412143
48.873183,2.413387
48.870756,2.413774
48.867693,2.41401
48.86031,2.414417
48.849439,2.416155
48.846643,2.415876
48.843932,2.415276
48.840571,2.414331
48.834498,2.4121
48.83399,2.411199
48.834184,2.410013
48.83334,2.407851
48.829102,2.400384
48.827563,2.394741
48.825359,2.389312
48.817292,2.366974
48.815879,2.360709
48.816557,2.355409
48.818493,2.352383
48.816048,2.346632
48.81691,2.33526
48.818422,2.33247
48.827647,2.291679
48.830487,2.284684
48.833425,2.276809
48.835162,2.27241
48.833862,2.262647
48.834865,2.255116
48.838594,2.251983
