0111,5850
0112,2601
0113,4542,6392
0114,6714,7384,5314
0115,5025,1412
0117,6819,6895
0119,3536,4717
0130,1596,9696
0131,1031,2301
0132,0538,1305
0133,3036,1713
0134,3541
0135,0918,9096
0136,6809
0137,2371,9855
0138,2225,8242
0139,8095,9320
0141,7667,7606
0142,0141
0143,1727,3001,6392
0144,3146,9829
0145,8495,5505,4893
0146,6682,7780
0148,3274,4963
0149,7698,5187
0150,1469,0231
0151,9658
0152,0446,2437
0153,0918,8702
0154,1328,3385
0155,5494,4708,5241
0156,5498
0157,3730,1302
0158,3877
0159,7776,2354,2684
0160,0159,3100
0161,9860,4733
0162,5355
0163,4160,0219
0165,4409,0949
0167,6455,5850
0170,2221,9886
0171,0170,7472
0172,0847,7677
0173,9670
0175,5768,3960,4272
0176,4967,9978
0177,2198,6027
0179,9872,8164,9183
0183,8393
0186,9627,3544
0190,2601,3196
0191,5239
0192,9105,0362
0193,8104,6874
0194,8809,0036
0195,5486,3276
0196,9789,2009
0197,8721,5972
0199,6809
0200,0199
0201,3293,9841,9205
0202,4012,1950
0203,3344,8058,7374
0204,8066,7034,9696
0205,6072,7588,5463
0206,2727,5989,4142
0207,7208,0918
0208,0209,2113
0209,6066,0208
0211,0877
0212,8229,8860
0213,8573,7677,7608
0215,4850,2092,6991
0216,2817
0217,2360,0799
0218,1799,3540
0219,6937,3794
0220,8721,5972
0222,4390
0224,5625,9718
0225,0227
0226
0227,9671,3521
0229,5803
0230,1125,8052
0231
0232,6682,1265,0231,8152
0234,4263,5856
0235,3637,1134
0236,9829
0238,3069,7357
0239,2044,0666
0240,7169,8980
0241,8573,0213
0242,7819,9886
0243,8468,4036
0244,1972,0466
0245
0246,3673,1441
0247,9607
0248,4675,7208
0249,5607,1495,3421,8747
0250,9387,0993,6932
0251,8068,0006
0252,0630,2608
0253,4594,0253,0253,0253,0253,5159
0255,6563
0256,8160
0257,4015,5903
0261,4015,5599
0263,0534,6187
0264
0265,8201,3556
0266,2932,3729
0267,6098,5835,4397
0268,7608,7621
0269,8206,3538
0270,3829,4910
0271,8813,4276
0272,1119
0273,0274
0274,8197,9872
0275,7667
0276
0277,6465,1656
0279,Z193,Z013
0280,8569,4429
0281,5966,5867,7643
0282,5707,9728
0283,9761,7544
0284,8662,0426
0285,2221,5025,4916
0286,2452,1031
0287,5770,3406
0288,7522,2118
0289,5765,8229
0291,6685,7208
0292,4603,3406
0293,9696
0294,7819
0295,0296,5680
0296,8897,2115
0297,8024,7579,1012
0298,9366,5584
0299,9803
0300,3789,2948
0301,4231,1546
0302,1265,4876
0304,8761,1355,8845
0305,5637,4275,4273,4113,3961
0306,8916,9490
0307,6571,0136
0308,8181
0309,2118,1869,7038
0310,5316,8173
0311,6066
0312,9959
0313,5564,1727,8393
0314,3838
0315,2602
0316,5404,0141
0317,2113,0019
0318,4931,0702
0319,7682,7558,0432
0320,9454,0916
0321,6010
0322,8882,6683
0323
0324,5425
0325,7522
