agency,name,state,lat,lon,stateabbr,stateNb,agencyNb
AL03701,Abbeville,Alabama,31.571643,-85.250929,AL,0,0
TX22101,Abilene,Texas,32.449175,-99.741424,TX,42,1
VA09401,Abingdon,Virginia,36.71049,-81.975194,VA,46,2
VA00100,Accomack,Virginia,37.740345,-75.643742,VA,46,3
MA00901,Acton,Massachusetts,42.485821,-71.433296,MA,20,4
OK06201,Ada,Oklahoma,34.77507,-96.678689,OK,35,5
ID00100,Ada,Idaho,43.459829,-116.244469,ID,11,6
OK00100,Adair,Oklahoma,36.436765,-95.272089,OK,35,7
MO00100,Adair,Missouri,40.191769,-92.600719,MO,24,8
WI00100,Adams,Wisconsin,43.95911,-89.817679,WI,49,9
MS00100,Adams,Mississippi,38.82597,-83.486599,MS,23,10
IA00200,Adams,Iowa,41.02915,-94.699486,IA,14,11
CO00100,Adams,Colorado,39.869631,-104.379742,CO,5,12
TX05701,Addison,Texas,32.95398,-96.816894,TX,42,13
CA03613,Adelanto,California,34.57922,-117.410104,CA,4,14
NC04601,Ahoskie,North Carolina,36.289345,-76.989794,NC,32,15
SC00201,Aiken,South Carolina,33.561645,-81.722139,SC,39,16
SC00200,Aiken,South Carolina,33.561645,-81.722139,SC,39,17
OH07701,Akron,Ohio,41.084195,-81.514059,OH,34,18
NC00100,Alamance,North Carolina,36.036842,-79.485955,NC,32,19
CA00101,Alameda,California,37.766585,-122.244739,CA,4,20
CA00100,Alameda,California,37.766585,-122.244739,CA,4,21
TN01701,Alamo,Tennessee,35.7853,-89.117249,TN,41,22
NM01901,Alamogordo,New Mexico,32.89925,-105.960323,NM,30,23
NY00101,Albany,New York,42.651445,-73.755254,NY,31,24
GA04701,Albany,Georgia,31.58076,-84.156009,GA,9,25
VA00203,Albemarle County PD,Virginia,38.003351,-79.458504,VA,46,26
NM00101,Albuquerque,New Mexico,35.08418,-106.648639,NM,30,27
MI01101,Alcona,Michigan,44.684175,-83.579521,MI,21,28
AL06201,Alexander City,Alabama,32.938845,-85.95295,AL,0,29
VA09900,Alexandria,Virginia,38.804605,-77.043414,VA,46,30
LA04001,Alexandria,Louisiana,31.312685,-92.445649,LA,17,31
IA05501,Algona,Iowa,43.06887,-94.227489,IA,14,32
