Incident id,state id,agency,g,month,incInMonth,manslaughter,situation,nbVictims,nbOffenders
0,62,VI00100,0,1,1,true,B,1,1
1,62,VI00100,0,1,2,true,B,1,1
2,62,VI00100,0,1,3,true,B,1,1
3,62,VI00100,0,2,1,true,A,1,1
4,62,VI00100,0,2,2,true,B,1,1
5,62,VI00100,0,2,3,true,A,1,1
6,62,VI00100,0,2,4,true,A,1,1
7,62,VI00100,0,3,1,true,C,1,3
8,62,VI00100,0,3,2,true,B,1,1
9,62,VI00100,0,4,1,true,A,1,1
10,62,VI00100,0,4,2,true,C,1,2
11,62,VI00100,0,4,3,true,B,1,1
12,62,VI00100,0,5,1,true,E,1,1
14,62,VI00100,0,5,2,true,A,1,1
15,62,VI00100,0,5,3,true,B,1,1
16,62,VI00100,0,5,4,true,E,1,1
18,62,VI00100,0,5,5,true,B,1,1
19,62,VI00100,0,6,1,true,B,1,1
20,62,VI00100,0,6,2,true,A,1,1
21,62,VI00100,0,7,1,true,A,1,1
22,62,VI00100,0,7,2,true,D,2,1
23,62,VI00100,0,7,3,true,A,1,1
24,62,VI00100,0,8,1,true,A,1,1
25,62,VI00100,0,9,1,true,B,1,1
26,62,VI00100,0,9,2,true,A,1,1
27,62,VI00103,0,1,1,true,B,1,1
28,62,VI00103,0,1,2,true,B,1,1
29,62,VI00103,0,1,3,true,B,1,1
30,62,VI00103,0,2,1,true,F,1,1
32,62,VI00103,0,2,2,true,B,1,1
33,62,VI00103,0,2,3,true,B,1,1
34,62,VI00103,0,2,4,true,B,1,1
35,62,VI00103,0,4,1,true,B,1,1
36,62,VI00103,0,4,2,true,F,1,1
38,62,VI00103,0,5,1,true,A,1,1
39,62,VI00103,0,5,2,true,B,1,1
40,62,VI00103,0,5,3,true,B,1,1
41,62,VI00103,0,5,4,true,A,1,1
42,62,VI00103,0,7,1,true,B,1,1
43,62,VI00103,0,8,1,true,B,1,1
44,62,VI00103,0,9,1,true,B,1,1
45,62,VI00103,0,9,2,true,B,1,1
46,62,VI00103,0,10,1,true,B,1,1
47,62,VI00103,0,10,2,true,B,1,1
48,62,VI00103,0,10,3,true,B,1,1
49,62,VI00103,0,11,1,true,B,1,1
50,62,VI00103,0,11,2,true,B,1,1
51,1,AL00201,1,1,1,true,A,1,1
52,1,AL00201,1,2,1,true,A,1,1
53,1,AL00201,1,2,2,true,A,1,1
54,1,AL00201,1,2,3,true,B,1,1
55,1,AL00201,1,3,1,true,A,1,1
56,1,AL00201,1,3,2,true,A,1,1
57,1,AL00201,1,4,1,true,A,1,1
58,1,AL00201,1,5,1,true,A,1,1
59,1,AL00201,1,6,1,true,A,1,1
60,1,AL00201,1,6,2,true,B,1,1
61,2,AZ00717,1,1,1,true,D,2,1
62,2,AZ00717,1,2,1,false,A,1,1
63,2,AZ00717,1,4,1,true,A,1,1
64,2,AZ00717,1,4,2,true,A,1,1
65,2,AZ00717,1,4,3,true,A,1,1
66,2,AZ00717,1,5,1,true,A,1,1
67,2,AZ00717,1,6,1,true,A,1,1
68,2,AZ00717,1,6,2,true,C,1,2
69,2,AZ00717,1,8,1,true,C,1,3
70,2,AZ00717,1,8,2,false,A,1,1
71,2,AZ00717,1,10,1,true,C,1,2
72,2,AZ00717,1,10,2,true,A,1,1
73,2,AZ00717,1,10,3,true,A,1,1
74,2,AZ00717,1,10,4,true,A,1,1
75,2,AZ00717,1,10,5,true,A,1,1
76,2,AZ00717,1,11,1,true,C,1,4
