incidentId,stateId,agency,month,incInMonth,manslaughter,situation,nbVictims,nbOffenders
0,62,VI00100,1,1,A,B,1,1
1,62,VI00100,1,2,A,B,1,1
2,62,VI00100,1,3,A,B,1,1
3,62,VI00100,2,1,A,A,1,1
4,62,VI00100,2,2,A,B,1,1
5,62,VI00100,2,3,A,A,1,1
6,62,VI00100,2,4,A,A,1,1
7,62,VI00100,3,1,A,C,1,3
8,62,VI00100,3,2,A,B,1,1
9,62,VI00100,4,1,A,A,1,1
10,62,VI00100,4,3,A,B,1,1
11,62,VI00100,5,1,A,E,2,2
12,62,VI00100,5,2,A,A,1,1
13,62,VI00100,5,3,A,B,1,1
14,62,VI00100,5,4,A,E,2,2
15,62,VI00100,5,5,A,B,1,1
16,62,VI00100,6,1,A,B,1,1
17,62,VI00100,6,2,A,A,1,1
18,62,VI00100,6,2,A,D,2,1
19,62,VI00100,6,3,A,A,1,1
20,62,VI00100,6,2,A,A,1,1
21,62,VI00103,1,1,A,B,1,1
22,62,VI00103,1,2,A,B,1,1
23,62,VI00103,2,1,A,F,2,2
24,62,VI00103,2,2,A,B,1,1
25,62,VI00103,2,3,A,B,1,1
26,62,VI00103,2,4,A,B,1,1
27,62,VI00103,4,1,A,B,1,1
28,62,VI00103,4,2,A,F,2,2
29,62,VI00103,4,2,A,B,1,1
30,62,VI00103,4,4,A,A,1,1
31,62,VI00103,8,1,A,B,1,1
32,62,VI00103,9,1,A,B,1,1
33,62,VI00103,9,2,A,B,1,1
34,62,VI00103,10,1,A,B,1,1
35,62,VI00103,10,2,A,B,1,1
36,62,VI00103,10,3,A,B,1,1
37,62,VI00103,11,1,A,B,1,1
38,1,AL00201,1,1,A,A,1,1
39,1,AL00201,1,2,A,A,1,1
40,1,AL00201,1,3,A,B,1,1
41,1,AL00201,3,1,A,A,1,1
42,1,AL00201,3,2,A,A,1,1
43,1,AL00201,4,1,A,A,1,1
44,1,AL00201,6,1,A,A,1,1
45,2,AZ00717,1,1,A,D,2,1
46,2,AZ00717,2,1,B,A,1,1
47,2,AZ00717,4,1,A,A,1,1
48,2,AZ00717,4,2,A,A,1,1
49,2,AZ00717,5,1,A,A,1,1
