offenderId,incidentId,age,sex,race,ethnicity,weapon,relationship,circumstances,extra
0,0,0,U,U,,12,UN,99,
1,1,0,U,U,,12,UN,99,
2,2,0,U,U,,12,UN,99,
3,3,49,M,U,,12,GF,45,
4,4,0,U,U,,12,UN,99,
5,5,24,M,B,,12,UN,99,
6,6,27,M,B,,12,GF,99,
7,7,20,M,B,,12,UN,99,
8,7,28,M,B,,12,UN,99,
9,7,23,M,B,,12,UN,99,
10,8,0,U,U,,12,UN,26,
11,9,28,M,B,,11,UN,99,
12,10,0,U,U,,11,UN,26,
13,11,41,M,B,,12,AQ,26,
14,11,20,M,B,,12,AQ,26,
15,12,49,M,B,,12,NE,99,
16,13,0,U,U,,12,UN,81,G
17,14,22,M,B,,12,AQ,26,
18,14,22,M,B,,12,AQ,26,
19,15,0,U,U,,12,UN,26,
20,16,0,U,U,,12,UN,99,
21,17,16,M,B,,12,UN,99,
22,18,22,M,B,,15,ST,99,
23,19,27,M,B,,12,ST,99,
24,20,16,M,B,,12,ST,99,
25,21,0,U,U,,12,UN,99,
26,22,0,U,U,,12,UN,99,
27,23,0,U,U,,12,UN,99,
28,23,0,U,U,,12,UN,99,
29,24,0,U,U,,12,UN,99,
30,25,0,U,U,,12,UN,99,
31,26,0,U,U,,12,UN,99,
32,27,0,U,U,,13,UN,99,
33,28,0,U,U,,12,UN,99,
34,28,0,U,U,,12,UN,99,
35,29,0,U,U,,12,UN,99,
36,30,51,M,U,,12,ST,81,E
37,31,0,U,U,,12,UN,99,
38,32,0,U,U,,12,UN,99,
39,33,0,U,U,,12,UN,99,
40,34,0,U,U,,12,UN,99,
41,35,0,U,U,,12,UN,99,
42,36,0,U,U,,12,UN,99,
43,37,0,U,U,,12,UN,99,
44,38,27,M,B,,12,UN,99,
45,39,25,M,B,,12,ST,99,
46,40,0,U,U,,12,UN,99,
47,41,19,M,B,,12,ST,99,
48,42,32,M,B,,12,UN,99,
49,43,19,M,B,,12,ST,99,
50,44,58,M,W,,12,OF,99,
51,45,20,M,W,,12,ST,45,
52,46,30,M,W,H,13,FR,53,
53,47,0,M,U,H,12,UN,45,
54,48,49,F,W,N,12,XH,43,
55,49,33,M,W,N,12,ST,5,
56,50,18,M,W,H,12,UN,26,
57,50,18,M,W,H,12,UN,26,
58,51,20,F,W,,12,AQ,18,
59,51,20,M,W,,12,ST,18,
60,51,20,M,W,,12,ST,18,
61,52,21,M,I,,12,GF,53,
62,53,32,M,W,N,12,ST,81,A
63,53,30,F,W,N,12,ST,81,A
64,54,20,M,W,N,15,AQ,45,
65,55,33,M,W,N,15,ST,81,A
66,56,21,M,W,N,12,FA,45,
67,57,42,M,W,N,12,WI,45,
68,58,39,M,B,,11,ST,81,A
69,58,40,M,W,,11,ST,81,A
70,58,44,M,W,,11,ST,81,A
71,58,45,M,B,,11,ST,81,A
72,59,26,M,W,H,12,AQ,99,
73,60,0,U,U,U,12,UN,99,
74,61,0,M,B,N,12,ST,99,
75,62,18,M,B,N,14,FR,45,
76,62,23,F,B,N,14,FR,45,
77,63,0,U,U,U,12,UN,99,
78,64,0,U,U,U,12,UN,99,
79,65,0,F,U,,11,UN,99,
80,66,0,M,W,N,12,ST,18,
81,66,42,M,W,N,12,ST,18,
82,67,37,M,W,H,12,ST,80,E
83,67,30,M,B,N,12,ST,80,E
84,68,25,M,W,N,12,ST,80,E
85,69,30,M,W,N,12,ST,81,A
86,69,32,M,W,N,12,ST,81,A
87,70,59,M,W,N,12,ST,80,E
88,71,48,M,W,N,12,FR,60,
89,72,0,U,U,U,12,UN,99,
90,73,0,U,U,U,12,UN,99,
91,74,0,M,W,H,11,ST,26,
