name,cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),economy (mpg),year
AMC Ambassador Brougham,8,360,175,3821,11,13,73
AMC Ambassador DPL,8,390,190,3850,8.5,15,70
AMC Ambassador SST,8,304,150,3672,11.5,17,72
AMC Concord DL 6,6,232,90,3265,18.2,20.2,79
AMC Concord DL,6,258,120,3410,15.1,18.1,78
AMC Concord DL,4,151,,3035,20.5,23,82
AMC Concord,6,232,90,3210,17.2,19.4,78
AMC Concord,4,151,90,3003,20.1,24.3,80
AMC Gremlin,6,232,100,2789,15,18,73
AMC Gremlin,6,232,100,2634,13,19,71
AMC Gremlin,6,232,100,2914,16,20,75
AMC Gremlin,6,199,90,2648,15,21,70
AMC Hornet Sportabout (Wagon),6,258,110,2962,13.5,18,71
AMC Hornet,6,199,97,2774,15.5,18,70
AMC Hornet,6,232,100,2945,16,18,73
AMC Hornet,6,232,100,2901,16,19,74
AMC Hornet,6,232,90,3085,17.6,22.5,76
AMC Matador (Wagon),8,304,150,4257,15.5,14,74
AMC Matador (Wagon),8,304,150,3892,12.5,15,72
AMC Matador,8,304,150,3672,11.5,14,73
AMC Matador,6,258,110,3730,19,15,75
AMC Matador,8,304,120,3962,13.9,15.5,76
AMC Matador,6,258,110,3632,18,16,74
AMC Matador,6,232,100,3288,15.5,18,71
AMC Pacer D/L,6,258,95,3193,17.8,17.5,76
AMC Pacer,6,232,90,3211,17,19,75
AMC Rebel SST (Wagon),8,360,175,3850,11,,70
AMC Rebel SST,8,304,150,3433,12,16,70
AMC Spirit DL,4,121,80,2670,15,27.4,79
Audi 100 LS,4,114,91,2582,14,20,73
Audi 100 LS,4,115,95,2694,15,23,75
Audi 100 LS,4,107,90,2430,14.5,24,70
Audi 4000,4,97,78,2188,15.8,34.3,80
Audi 5000,5,131,103,2830,15.9,20.3,78
Audi 5000S (Diesel),5,121,67,2950,19.9,36.4,80
Audi Fox,4,98,83,2219,16.5,29,74
BMW 2002,4,121,113,2234,12.5,26,70
BMW 320i,4,121,110,2600,12.8,21.5,77
Buick Century 350,8,350,175,4100,13,13,73
Buick Century Limited,6,181,110,2945,16.4,25,82
Buick Century Luxus (Wagon),8,350,150,4699,14.5,13,74
Buick Century Special,6,231,105,3380,15.8,20.6,78
Buick Century,6,231,110,3907,21,17,75
Buick Century,6,231,110,3415,15.8,22.4,81
Buick Electra 225 Custom,8,455,225,4951,11,12,73
Buick Estate Wagon (Wagon),8,455,225,3086,10,14,70
Buick Estate Wagon (Wagon),8,350,155,4360,14.9,16.9,79
Buick Lesabre Custom,8,350,155,4502,13.5,13,72
Buick Opel Isuzu Deluxe,4,111,80,2155,14.8,30,77
Buick Regal Sport Coupe (Turbo),6,231,165,3445,13.4,17.7,78
Buick Skyhawk,6,231,110,3039,15,21,75
Buick Skylark 320,8,350,165,3693,11.5,15,70
Buick Skylark Limited,4,151,90,2670,16,28.4,79
Buick Skylark,6,231,105,3425,16.9,20.5,77
Buick Skylark,4,151,84,2635,16.4,26.6,81
Cadillac Eldorado,8,350,125,3900,17.4,23,79
Cadillac Seville,8,350,180,4380,12.1,16.5,76
Chevroelt Chevelle Malibu,6,250,105,3897,18.5,16,75
Chevrolet Bel Air,8,350,145,4440,14,15,75
Chevrolet Camaro,4,151,90,2950,17.3,27,82
Chevrolet Caprice Classic,8,400,150,4464,12,13,73
Chevrolet Caprice Classic,8,305,130,3840,15.4,17,79
Chevrolet Caprice Classic,8,305,145,3880,12.5,17.5,77
Chevrolet Cavalier 2-Door,4,112,88,2395,18,34,82
Chevrolet Cavalier Wagon,4,112,88,2640,18.6,27,82
Chevrolet Cavalier,4,112,88,2605,19.6,28,82
Chevrolet Chevelle Concours (Wagon),8,350,165,4142,11.5,,70
Chevrolet Chevelle Concours (Wagon),8,307,130,4098,14,13,72
Chevrolet Chevelle Malibu Classic,6,250,100,3781,17,16,74
Chevrolet Chevelle Malibu Classic,8,305,140,4215,13,17.5,76
Chevrolet Chevelle Malibu,6,250,100,3329,15.5,17,71
Chevrolet Chevelle Malibu,8,307,130,3504,12,18,70
Chevrolet Chevette,4,85,52,2035,22.2,29,76
Chevrolet Chevette,4,98,68,2155,16.5,30,78
Chevrolet Chevette,4,98,63,2051,17,30.5,77
Chevrolet Chevette,4,98,70,2120,15.5,32.1,80
Chevrolet Citation,6,173,110,2725,12.6,23.5,81
Chevrolet Citation,4,151,90,2678,16.5,28,80
Chevrolet Citation,6,173,115,2595,11.3,28.8,79
Chevrolet Concours,6,250,110,3520,16.4,17.5,77
Chevrolet Impala,8,400,150,4997,14,11,73
Chevrolet Impala,8,350,165,4274,12,13,72
Chevrolet Impala,8,350,165,4209,12,14,71
Chevrolet Impala,8,454,220,4354,9,14,70
Chevrolet Malibu Classic (Wagon),8,267,125,3605,15,19.2,79
Chevrolet Malibu,8,350,145,3988,13,13,73
Chevrolet Malibu,6,200,95,3155,18.2,20.5,78
Chevrolet Monte Carlo Landau,8,350,170,4165,11.4,15.5,77
Chevrolet Monte Carlo Landau,8,305,145,3425,13.2,19.2,78
Chevrolet Monte Carlo S,8,350,145,4082,13,15,73
Chevrolet Monte Carlo,8,400,150,3761,9.5,15,70
Chevrolet Monza 2+2,8,262,110,3221,13.5,20,75
Chevrolet Nova Custom,6,250,100,3278,18,16,73
Chevrolet Nova,6,250,100,3336,17,15,74
Chevrolet Nova,6,250,105,3459,16,18,75
Chevrolet Nova,6,250,105,3353,14.5,22,76
Chevrolet Vega (Wagon),4,140,72,2408,19,22,71
Chevrolet Vega 2300,4,140,90,2264,15.5,28,71
Chevrolet Vega,4,140,90,2408,19.5,20,72
Chevrolet Vega,4,140,72,2401,19.5,21,73
Chevrolet Vega,4,140,75,2542,17,25,74
Chevrolet Woody,4,98,60,2164,22.1,24.5,76
Chevy C10,8,350,145,4055,12,13,76
