id,text,time,sec,user
"216682042908344322","#FranceEspagne Putos gavatxos de merda, ni per a eliminar els putos espanyols no sou bons? Aneu a cagar! #España-Francia #SomPaïsosCatalans","01:59:59","27788","DrZamaltza"
"216682035346026497","RT @Antoine_Leveque: Au moins avec Zahia, Ribery et Benzema faisaient de vraies passes. #FranceEspagne","01:59:57","27786","jim_137"
"216681900926959616","#QuestionsDeFilleDevantUnMatch pourquoi on dit qu'il y a 11 joueurs sur le terrain alors que Benzema a le numéro 20 ? #FranceEspagne”","01:59:25","27754","TazzerDirtewest"
"216681842550648835","Rimeur Offensif Honorant le Fond et la Forme, tu l'reconnais ? #franceespagne @SULTANOFFICIEL","01:59:11","27740","MickaelLipari"
"216681812733333505","RT @Nouj1: Selon des calculs de la NASA, la frappe de Karim Benzema devrait retomber sur Terre le 21 décembre. #FranceEspagne","01:59:04","27733","DidyBePriv"
"216681798275563520","LIQUIDATION TOTALE !!! #EDF #Euro2012 #FranceEspagne http://t.co/DrZqSpAW","01:59:01","27730","Gregorinho_13"
"216681713202507778","RT @Antoine_Leveque: Au moins avec Zahia, Ribery et Benzema faisaient de vraies passes. #FranceEspagne","01:58:40","27709","hmorpheus1"
"216681702922260480","La taupe en 2010 c'etait Samir Nasri #FranceEspagne","01:58:38","27707","FlowLem"
"216681680222683136","RT @Nouj1: Selon des calculs de la NASA, la frappe de Karim Benzema devrait retomber sur Terre le 21 décembre. #FranceEspagne","01:58:32","27701","MotiGoya"
"216681676179386368","RT @tonton_idriss: #anelka va porter plainte contre #nasri pour plagiat #franceespagne","01:58:32","27701","idirR95"
"216681670567403521",":D RT “@Nouj1: Selon des calculs de la NASA, la frappe de Karim Benzema devrait retomber sur Terre le 21 décembre. #FranceEspagne”","01:58:30","27699","LoubnaZrari"
"216681657321795584","Encore un dérapage de Samir Nasri. Au non pardon ce n'est pas un dérapage, c'est sa faon de s'exprimer. #FranceEspagne #Euro2012","01:58:27","27696","Felix_ch94"
"216681636723572738","Après #Franceespagne, Laurent Blanc broie du noir.","01:58:22","27691","vsaddier"
"216681406972174336","Les insultes avec Cantona ça avait plus de classe http://t.co/eH8UngDv #FranceEspagne #Samir #Nasri #Euro2012","01:57:27","27636","A_DXVII"
"216681403860008960","RT @Nouj1: Selon des calculs de la NASA, la frappe de Karim Benzema devrait retomber sur Terre le 21 décembre. #FranceEspagne","01:57:27","27636","le_gaffric"
"216681377184227328","Afrique Foot: Nasri : le coup de sang http://t.co/g4DIEFxJ #EDF #Nasri #Bleus #FranceEspagne","01:57:20","27629","Afriquefootball"
"216681345538195457","RT @Bruce_Toussaint: Sérieusement  C'est quoi ce match...?? #euro2012  #FranceEspagne","01:57:13","27622","stelaurent12"
"216681342086295552","RT @kass92i: l'espagne n'était pas la vraie espagne,la france avait ses chances de gagner ils ont juste fait les cons !!! #FranceEspagne","01:57:12","27621","JYouunes"
"216681287564541952","Et pendant ce temps là, Trezeguet met un doublé pour envoyer River Plate en première division. #FranceEspagne","01:56:59","27608","blackoiseau"
"216681237237075969","Sur ce bonne nuit. #deception #Euro2012 #FranceEspagne","01:56:47","27596","SachaUzan"
"216681152818315267","#FranceEspagne au trocadéro : un début de match calme et ensoleillé, une fin bordélique à cause de nbreux racailloux http://t.co/7jd4ID6H","01:56:27","27576","YBA19"
"216681138297634816","Pour passer ce quart, il aurait fallu plus d'une moitié de cervelle à se partager à 23. Mission impossible. #FranceEspagne","01:56:23","27572","APelenc"
"216681102033698817","ça donne envie de supporter l'Espagne quand même... RT @virginiecapric France-Espagne 0-2... #FranceEspagne #Euro2012 http://t.co/bOTWq1BN","01:56:15","27564","FjellLove"
"216681095759015937","RT @Nain_Portekoi: La Fifa vient de dégrader la FFF à GGG. #euro2012 #FranceEspagne","01:56:13","27562","Bibliociraptor"
"216680997834588160","RT @AmandineDu38_: Jaten le match retour, on va le gagné #FranceEspagne","01:55:50","27539","f_t60"
"216680970571620352","#euro2012 #FranceEspagne #France  excuse moi, l'espagne est la meilleur... avec guignol et sans guignol","01:55:43","27532","CarmeloOP"
"216680945787478017","Vous auriez du rappeler Trezegol à la place de benzema je crois, il aurait plus marquer.. #Euro2012 #FranceEspagne","01:55:37","27526","SilvaK_11"
"216680856763371521","RT @M_Chivers: Nasri qui insulte un journaliste qui lui demande une reaction .... Je veux plus le voir en #edf ce branleur #franceespagne","01:55:16","27505","Karl300du06"
"216680821283758081","RT @tonton_idriss: #anelka va porter plainte contre #nasri pour plagiat #franceespagne","01:55:08","27497","Karl300du06"
"216680797321707520","RT @JuniorDotbav: #FranceEspagne Zahia elle va prendre ce soir","01:55:02","27491","Diistinct93"
"216680789373501440","zizouuuu revient y a que avec ce joueur au talent inégalé pour ramener l'equipe de france dans les sommets #FranceEspagne","01:55:00","27489","kass92i"
"216680737481555968","RT @Nouj1: Selon des calculs de la NASA, la frappe de Karim Benzema devrait retomber sur Terre le 21 décembre. #FranceEspagne","01:54:48","27477","Bobiiiw"
"216680698696830978","Espagnols on se retrouve en octobre #FranceEspagne","01:54:38","27467","Sebastos_D"
"216680633097928704","On m'indique à l'oreillette que Samir Nasri est mauvais sur le terrain car il se tire des balles dans le pied en dehors. #FranceEspagne","01:54:23","27452","Blckdz"
"216680623329394689","#anelka va porter plainte contre #nasri pour plagiat #franceespagne","01:54:20","27449","tonton_idriss"
"216680600696913920","RT @metzgereric: Si ca peut rendre service... #euro2012 #FranceEspagne http://t.co/I0pDONFL","01:54:15","27444","rachidoudoudou"
"216680552407904258","RT @zemmoureric: Les 23 joueurs vont donc être payés une fortune pour nous faire honte. Ça me rappelle 38 autres personnes… #FranceEspagne","01:54:04","27433","NeufHeinSari"
