"jdv4p","q23","region","agglo","sexe","age_int_reg","pcschef_r","pcsint_r","diplome","religion","pratiquerel"
"Abstention","Canal +","Ouest","Plus de 100 000 habitants","Femme","35 à 49 ans","ouvriers","professions intermédiaires, techniciens, contremaitres et agents de maitrise","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","France 2","Sud Ouest","Moins de 2000 habitants","Homme","35 à 49 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Ouest","Plus de 100 000 habitants","Homme","65 ans et plus","professions libérales et cadres","professions libérales et cadres","BAC technique","Catholique","Jamais"
"Jean-Luc Mélenchon","France 2","Ouest","20 000 à 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Sans religion","NA"
"Nicolas Sarkozy","BFM TV","Sud  Est","Plus de 100 000 habitants","Homme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","France 2","Paris","Agglomération parisienne","Homme","25 à 34 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Sans religion","NA"
"François Hollande","Canal +","Sud  Est","Plus de 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","retraités / autres inactifs","Diplôme de l'enseignement supérieur","Sans religion","NA"
"François Hollande","Aucune","Ouest","Moins de 2000 habitants","Homme","25 à 34 ans","employés et personnels de services","employés et personnels de services","BAC général","Catholique","Jamais"
"Philippe Poutou","BFM TV","Centre","Moins de 2000 habitants","Homme","35 à 49 ans","ouvriers","ouvriers","Sans diplôme","Musulmane","Jamais"
"Jean-Luc Mélenchon","France 2","Nord","Plus de 100 000 habitants","Homme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC+2 / niveau BAC+2","Catholique","Jamais"
"Abstention","Aucune","Sud Ouest","Plus de 100 000 habitants","Femme","25 à 34 ans","professions libérales et cadres","professions libérales et cadres","Diplôme de l'enseignement supérieur","Sans religion","NA"
"Abstention","M6","Sud Ouest","2 000 à 20 000 habitants","Femme","50 à 64 ans","employés et personnels de services","employés et personnels de services","BAC+2 / niveau BAC+2","Bouddhiste","Uniquement pour les cérémonies, mariages"
"François Hollande","TF1","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","ouvriers","artisans, commercants et chef d entreprises","BAC+2 / niveau BAC+2","Catholique","Jamais"
"Jean-Luc Mélenchon","Aucune","Centre","20 000 à 100 000 habitants","Femme","50 à 64 ans","professions libérales et cadres","professions libérales et cadres","BAC général","Sans religion","NA"
"Abstention","Aucune","Sud  Est","Moins de 2000 habitants","Homme","35 à 49 ans","professions intermédiaires, techniciens, contremaitres et agents de maitrise","professions intermédiaires, techniciens, contremaitres et agents de maitrise","BAC technique","Catholique","Uniquement pour les cérémonies, mariages"
"François Hollande","Aucune","Ouest","Moins de 2000 habitants","Femme","50 à 64 ans","professions libérales et cadres","retraités / autres inactifs","Certificat d'études primaires","Catholique","De temps en temps, aux grandes fêtes"
"Nicolas Sarkozy","TF1","Sud  Est","Moins de 2000 habitants","Homme","65 ans et plus","ouvriers","ouvriers","Certificat d'études primaires","Catholique","Uniquement pour les cérémonies, mariages"
