"PR2012 1er tour","PR2012 2ème tour","sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sans opinion"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Pourrait changer d avis"
"Abstention","François Hollande","Sans opinion"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","François Hollande","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Pourrait changer d avis"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Abstention","Nicolas Sarkozy","Sûr de son choix"
"Eva Joly","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"Eva Joly","Blanc,nul, abstention, sans réponse","Sûr de son choix"
"Eva Joly","François Hollande","Pourrait changer d avis"
"Eva Joly","François Hollande","Pourrait changer d avis"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","François Hollande","Sûr de son choix"
"Eva Joly","Nicolas Sarkozy","Pourrait changer d avis"
"Eva Joly","Nicolas Sarkozy","Sûr de son choix"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Pourrait changer d avis"
"François Bayrou","Blanc,nul, abstention, sans réponse","Sans opinion"
"François Bayrou","Blanc,nul, abstention, sans réponse","Sans opinion"
