,,,,,,,,maxg,,,
001-01,,,,,inscrits,79071,1,0,0,FALSE,Jean-FranÁois Debat
001-01,,,,,abstentions,31542,0.398907311,0,0,FALSE,Jean-FranÁois Debat
001-01,,,,,blanc,476,0.006019906,0,0,FALSE,Jean-FranÁois Debat
001-01,f,Nadia,ALLOUACHE,Allouache,VEC,1161,0.024674303,1161,VEC,FALSE,Jean-FranÁois Debat
001-01,f,Maude,LEPAGNOT,Lepagnot,EXG,141,0.002996621,1161,VEC,FALSE,Jean-FranÁois Debat
001-01,m,GrÈgory,BAUDOUIN,Baudouin,DVD,299,0.006354536,1161,VEC,FALSE,Jean-FranÁois Debat
001-01,m,Jacques,FLECHON,Flechon,DVD,217,0.004611821,1161,VEC,FALSE,Jean-FranÁois Debat
001-01,m,ClÈment,PERRIN,Perrin,FN,7290,0.154931673,1161,VEC,FALSE,Jean-FranÁois Debat
001-01,m,SÈbastien,BOILEAU,Boileau,FG,1520,0.032303998,1161,VEC,FALSE,Jean-FranÁois Debat
001-01,m,Jean-FranÁois,DEBAT,Debat,SOC,18312,0.389178161,18312,SOC,FALSE,Jean-FranÁois Debat
001-01,f,Carole,GUENARD GERBAUD,Guenard Gerbaud,EXG,171,0.0036342,18312,SOC,FALSE,Jean-FranÁois Debat
001-01,m,Xavier,BRETON,Breton,UMP,17716,0.376511593,18312,SOC,FALSE,Jean-FranÁois Debat
001-01,f,Muriel,VAN DER VOSSEN,Van Der Vossen,ECO,226,0.004803094,18312,SOC,TRUE,Jean-FranÁois Debat
001-02,,,,,inscrits,86982,1,0,0,FALSE,Paul Vernay
001-02,,,,,abstentions,34894,0.401163459,0,0,FALSE,Paul Vernay
001-02,,,,,blanc,512,0.005886275,0,0,FALSE,Paul Vernay
001-02,m,Michel,RAYMOND,Raymond,DVG,11900,0.23072747,0,0,FALSE,Paul Vernay
001-02,f,Claire,DARMEDRU,Darmedru,ECO,495,0.009597487,0,0,FALSE,Paul Vernay
001-02,m,Paul,VERNAY,Vernay,VEC,5213,0.101074143,5213,VEC,FALSE,Paul Vernay
001-02,m,Charles,DE LA VERPILLIERE,De La Verpilliere,UMP,19217,0.372595781,5213,VEC,FALSE,Paul Vernay
001-02,f,Katia,PHILIPPE,Philippe,FG,2215,0.042946332,5213,VEC,FALSE,Paul Vernay
001-02,f,Marie Jeanne,BEGUET,Beguet,CEN,1418,0.027493408,5213,VEC,FALSE,Paul Vernay
001-02,m,Vincent,GOUTAGNY,Goutagny,EXG,224,0.004343105,5213,VEC,FALSE,Paul Vernay
001-02,m,Olivier,EYRAUD,Eyraud,FN,10894,0.211222274,5213,VEC,TRUE,Paul Vernay
001-03,,,,,inscrits,69837,1,0,0,FALSE,Jean-Marc Fognini
001-03,,,,,abstentions,32144,0.460271776,0,0,FALSE,Jean-Marc Fognini
001-03,,,,,blanc,470,0.006729957,0,0,FALSE,Jean-Marc Fognini
001-03,f,Sylvie,VERMEULEN,Vermeulen,ECO,379,0.010181877,0,0,FALSE,Jean-Marc Fognini
001-03,m,Jean-Marc,FOGNINI,Fognini,SOC,12164,0.326787201,12164,SOC,FALSE,Jean-Marc Fognini
001-03,m,Yves,THOUMINE,Thoumine,FG,1622,0.043575209,12164,SOC,FALSE,Jean-Marc Fognini
001-03,m,Etienne,BLANC,Blanc,UMP,15465,0.415468931,12164,SOC,FALSE,Jean-Marc Fognini
001-03,m,GaÎtan,NOBLET,Noblet,FN,5041,0.135427021,12164,SOC,FALSE,Jean-Marc Fognini
001-03,m,Eric,LAHY,Lahy,EXG,160,0.004298418,12164,SOC,FALSE,Jean-Marc Fognini
001-03,f,Delphine,ROCHET,Rochet,DVD,582,0.015635494,12164,SOC,FALSE,Jean-Marc Fognini
001-03,f,Christine,FRANQUET,Franquet,VEC,1810,0.04862585,12164,SOC,TRUE,Jean-Marc Fognini
001-04,,,,,inscrits,84591,1,0,0,FALSE,Guillaume Lacroix
001-04,,,,,abstentions,34706,0.410280053,0,0,FALSE,Guillaume Lacroix
001-04,,,,,blanc,655,0.007743141,0,0,FALSE,Guillaume Lacroix
001-04,m,Guillaume,LACROIX,Lacroix,RDG,15419,0.313203331,0,0,FALSE,Guillaume Lacroix
001-04,f,MichËle,VIANES,Vianes,DVD,635,0.012898639,0,0,FALSE,Guillaume Lacroix
001-04,m,Michel,VOISIN,Voisin,UMP,20050,0.407271989,0,0,FALSE,Guillaume Lacroix
001-04,f,Laurence,MAYER,Mayer,ECO,300,0.006093845,0,0,FALSE,Guillaume Lacroix
001-04,m,Jean-FranÁois,MORTEL,Mortel,EXG,192,0.003900061,0,0,FALSE,Guillaume Lacroix
001-04,m,Daniel,BLATRIX,Blatrix,FG,1560,0.031687995,0,0,FALSE,Guillaume Lacroix
001-04,f,Corinne,MOSSIRE,Mossire,FN,9390,0.190737355,0,0,FALSE,Guillaume Lacroix
001-04,f,Electre,DRACOS,Dracos,EXG,163,0.003310989,0,0,FALSE,Guillaume Lacroix
001-04,m,Nicolas,ZIELINSKI,Zielinski,VEC,1521,0.030895795,1521,VEC,TRUE,Guillaume Lacroix
001-05,,,,,inscrits,73724,1,0,0,FALSE,Josiane Exposito
001-05,,,,,abstentions,31574,0.428273018,0,0,FALSE,Josiane Exposito
001-05,,,,,blanc,557,0.007555206,0,0,FALSE,Josiane Exposito
001-05,m,Jean-Michel,BOULME,Boulme,EXG,222,0.005337437,0,0,FALSE,Josiane Exposito
001-05,m,Bernard,LEGER,Leger,DVD,176,0.004231481,0,0,FALSE,Josiane Exposito
001-05,m,Michel,PERRAUD,Perraud,PRV,3946,0.094871733,0,0,FALSE,Josiane Exposito
001-05,m,Christophe,CERESERO-LANES,Ceresero-Lanes,EXG,184,0.004423821,0,0,FALSE,Josiane Exposito
001-05,m,Bernard,FAVRE,Favre,ECO,232,0.005577862,0,0,FALSE,Josiane Exposito
001-05,f,Josiane,EXPOSITO,Exposito,SOC,11857,0.285072007,11857,SOC,FALSE,Josiane Exposito
001-05,m,Damien,ABAD,Abad,UMP,13231,0.318106412,11857,SOC,FALSE,Josiane Exposito
001-05,m,Guy,LARGERON,Largeron,EXG,165,0.003967014,11857,SOC,FALSE,Josiane Exposito
001-05,m,Jean,GALIENNE,Galienne,ECO,446,0.010722958,11857,SOC,FALSE,Josiane Exposito
001-05,f,MylËne,FERRI,Ferri,FG,3046,0.073233477,11857,SOC,FALSE,Josiane Exposito
001-05,m,Patrick,ROYER,Royer,ECO,301,0.007236795,11857,SOC,FALSE,Josiane Exposito
001-05,m,Patrick,SOKOLOWSKI,Sokolowski,FN,7482,0.179886039,11857,SOC,FALSE,Josiane Exposito
