"code","arr","bda","cir","nom","numRue","numSup","rue","lat","lon","insT1","blaT1","jolT1","lepT1","sarT1","melT1","pouT1","artT1","cheT1","bayT1","dupT1","holT1","insT2","blaT2","holT2","sarT2"
5660,1,1,1,"Mairie d'arrondissement",4,"","Place du Louvre",48.860001,2.341004,1075,11,29,52,348,64,5,2,2,93,10,238,1068,29,394,470
5661,1,2,1,"École élémentaire",19,"","Rue de l'Arbre-Sec",48.859735,2.342042,1117,10,40,47,325,63,3,0,2,95,6,312,1118,32,457,432
5662,1,3,1,"École maternelle",6,"","Rue Saint-Germain-l'Auxerrois",48.858183,2.345256,1091,5,53,59,230,90,4,2,2,95,10,292,1091,16,485,359
5663,1,4,1,"Bourse de Commerce",2,"","Rue de Viarmes",48.863143,2.342618,1304,7,58,63,260,140,4,3,2,97,11,376,1305,37,649,390
5664,1,5,1,"Bourse de Commerce",2,"","Rue de Viarmes",48.863143,2.342618,1014,10,48,39,292,63,3,0,3,86,10,274,1018,18,432,394
5665,1,6,1,"Bourse de Commerce",2,"","Rue de Viarmes",48.863143,2.342618,1141,11,39,59,349,66,6,2,3,92,9,301,1143,32,454,484
5666,1,7,1,"Collège d'enseignement secondaire Poquelin",6,"","Rue Molière",48.864651,2.335386,1090,8,28,48,335,62,4,1,4,97,5,281,1090,25,427,474
5667,1,8,1,"École élémentaire",11,"","Rue d'Argenteuil",48.865068,2.333883,896,6,23,45,371,26,5,0,2,75,8,176,897,18,261,458
5668,1,9,1,"École maternelle",27,"","Rue de la Sourdiere",48.866754,2.332784,909,8,31,46,365,52,2,0,2,68,5,159,910,34,278,458
5719,1,10,1,"École élémentaire",28,"","Rue Cambon",48.868338,2.326955,853,7,15,33,403,34,3,0,0,55,2,137,853,14,210,495
5720,2,1,1,"Mairie d'arrondissement",8,"","Rue de la Banque",48.86691,2.340411,1026,5,37,44,328,60,2,1,1,81,8,237,1034,22,390,440
5721,2,2,1,"INHA",2,"","Rue Vivienne",48.866474,2.338752,903,13,33,45,267,39,0,1,0,63,9,211,903,24,328,382
5722,2,3,1,"INHA",2,"","Rue Vivienne",48.866474,2.338752,799,8,20,39,265,35,2,0,2,60,4,178,799,17,264,362
5723,2,4,1,"Gymnase Jean Dame",17,"","Rue Leopold-Bellan",48.866637,2.345354,1336,10,64,40,329,93,3,1,2,117,4,414,1336,24,637,434
5724,2,5,1,"Gymnase Jean Dame",17,"","Rue Leopold-Bellan",48.866637,2.345354,1303,12,55,45,311,116,4,1,3,116,5,396,1304,23,640,434
5725,2,6,1,"École élémentaire",3,"","Rue de la Jussienne",48.865223,2.344007,1353,10,49,52,387,93,4,5,3,104,9,389,1353,33,597,523
5726,2,7,1,"École élémentaire",20,"","Rue Étienne-Marcel",48.864084,2.348088,1395,15,50,49,314,121,6,0,5,117,4,427,1395,36,667,457
5727,2,8,1,"École élémentaire",42,"","Rue Dussoubs",48.867049,2.349559,1533,21,58,46,288,162,3,2,5,121,9,494,1533,31,804,421
5728,2,9,1,"École élémentaire",44,"","Rue Dussoubs",48.867298,2.349676,1448,7,72,48,276,164,8,4,5,108,7,443,1448,28,731,403
6502,2,10,1,"École maternelle",12,"","Rue Dussoubs",48.865162,2.348613,1268,9,71,36,250,110,6,2,1,108,11,406,1267,18,659,353
5729,3,1,5,"Mairie d'arrondissement",2,"","Rue Eugène-Spuller",48.864517,2.361998,1395,11,57,43,315,118,6,0,1,115,6,433,1388,29,681,432
5730,3,2,5,"Mairie d'arrondissement",2,"","Rue Eugène-Spuller",48.864517,2.361998,1458,19,68,50,268,129,5,5,4,95,11,517,1459,27,767,394
5731,3,3,5,"Collège Pierre Jean de Béranger",5,"","Rue Béranger",48.865057,2.364342,1291,12,57,34,310,116,6,2,2,96,5,402,1293,37,653,384
5732,3,4,5,"Lycée François Truffaut",28,"","Rue Debelleyme",48.861882,2.363423,1395,15,53,40,343,94,11,0,3,102,8,455,1394,31,690,458
5733,3,5,5,"École élémentaire",10,"bis","Rue des Quatre-Fils",48.86031,2.360064,1264,7,65,40,350,83,5,5,2,90,6,380,1265,21,591,449
5734,3,6,5,"Lycée Simone Weil",7,"","Rue de Poitou",48.861376,2.364014,1387,9,60,42,329,109,4,0,0,122,7,453,1385,37,677,458
5735,3,7,5,"École élémentaire",54,"","Rue de Turenne",48.85855,2.36452,1333,9,56,58,328,86,5,1,0,116,10,425,1335,43,633,471
5736,3,8,5,"Lycée Victor Hugo",6,"","Rue Payenne",48.857712,2.362103,1316,9,48,46,352,87,5,2,0,114,11,366,1317,36,572,506
5737,3,9,5,"École élémentaire",211,"","Rue Saint-Martin",48.863986,2.352875,1532,16,72,67,302,135,8,1,2,138,14,496,1535,50,755,466
5738,3,10,5,"École maternelle",25,"","Rue Chapon",48.863686,2.355112,1533,18,81,51,319,125,6,7,4,102,7,483,1532,34,757,438
5739,3,11,5,"École maternelle",25,"","Rue Chapon",48.863686,2.355112,1528,20,81,48,358,127,10,2,1,109,8,479,1529,35,752,489
5740,3,12,5,"École élémentaire",8,"","Rue des Vertus",48.863939,2.357656,1404,9,74,42,335,119,3,1,3,109,5,429,1406,39,704,414
5741,3,13,5,"École élémentaire",6,"","Rue Vaucanson",48.866898,2.356537,1383,12,66,51,244,139,5,2,6,107,7,473,1386,27,756,358
5742,3,14,5,"Lycée Turgot",69,"","Rue de Turbigo",48.866154,2.35911,1518,12,61,54,305,144,4,3,1,129,14,517,1525,57,801,419
6496,3,15,5,"Bourse du Travail",67,"","Rue de Turbigo",48.865978,2.358023,1364,15,48,41,335,99,6,4,0,97,6,440,1363,30,656,443
5743,4,1,7,"Mairie d'arrondissement",2,"","Place Baudoyer",48.856075,2.355378,1270,17,36,69,366,101,3,6,4,82,20,291,1284,40,482,508
5744,4,2,7,"École élémentaire",9,"","Rue de Moussy",48.8579,2.355787,1080,5,56,54,258,84,7,2,0,63,15,328,1081,35,507,344
5745,4,3,7,"École élémentaire",10,"","Rue des Hospitalières-Saint-Gervais",48.858006,2.358951,1286,12,66,60,261,127,3,3,0,84,6,429,1286,29,677,388
5746,4,4,7,"École maternelle",4,"","Rue du Fauconnier",48.854225,2.359932,1206,18,41,56,261,127,6,4,1,98,13,352,1207,27,576,382
5747,4,5,7,"École élémentaire",22,"","Rue de l'Ave-Maria",48.853263,2.359483,1420,14,57,51,394,94,4,2,5,130,10,392,1421,42,602,545
5748,4,6,7,"Lycée professionnel Theophile Gautier",6,"bis","Place des Vosges",48.85497,2.36582,1585,14,71,47,430,118,6,2,3,129,14,485,1584,42,727,558
5749,4,7,7,"École élémentaire",21,"","Rue des Tournelles",48.855302,2.367264,1329,7,53,83,384,79,2,4,3,110,11,328,1329,39,526,563
5750,4,8,7,"Mairie de Paris - Direction des Affaires Scolaires",3,"","Rue de l'Arsenal",48.850358,2.365832,1352,7,39,105,321,105,9,3,2,119,9,355,1349,32,577,520
5751,4,9,7,"École maternelle",18,"","Rue Poulletier",48.851582,2.358333,961,4,32,47,326,63,5,2,4,74,14,217,960,26,350,428
5752,4,10,7,"École élémentaire",21,"","Rue Saint-Louis-en-l'Île",48.851347,2.357813,1049,16,32,53,366,57,3,1,0,90,12,228,1048,41,343,491
5753,4,11,7,"Collège François Couperin",2,"","Allée des Justes-de-France",48.855004,2.356299,957,11,42,40,238,76,9,1,0,72,9,278,957,29,443,327
5754,4,12,7,"École maternelle",40,"","Rue des Archives",48.859112,2.355898,1188,12,37,48,279,105,11,5,3,74,4,396,1188,42,577,376
5755,4,13,7,"École élémentaire",16,"","Rue du Renard",48.859211,2.352389,1518,11,63,58,347,134,7,3,3,124,12,455,1520,45,734,468
6380,4,14,7,"Collège François Couperin",2,"","Allée des Justes-de-France",48.855004,2.356299,1183,10,50,29,280,80,6,3,3,92,13,353,1184,21,544,383
5756,5,1,2,"Mairie d'arrondissement",21,"","Place du Panthéon",48.846227,2.344665,1463,14,59,64,367,136,7,2,4,143,10,393,1460,44,649,536
5757,5,2,2,"École élémentaire",14,"","Rue Victor-Cousin",48.847372,2.342118,1565,15,52,61,425,127,9,8,1,134,17,447,1565,36,687,605
5758,5,3,2,"École élémentaire",28,"","Rue Saint-Jacques",48.85121,2.345719,1487,14,56,58,405,122,8,2,3,142,15,362,1489,46,648,560
5759,5,4,2,"L.E.P. Abbe Gregoire",30,"","Rue Saint-Jacques",48.850986,2.345595,1424,19,49,70,458,98,7,2,2,112,11,377,1426,46,589,613
5760,5,5,2,"École élémentaire",2,"bis","Rue Pierre-Brossolette",48.841655,2.348207,1516,15,63,54,411,153,6,3,2,124,14,379,1518,33,691,566
5761,5,6,2,"École élémentaire",2,"","Rue Pierre-Brossolette",48.841655,2.348207,1329,19,59,57,316,110,5,4,1,126,11,386,1327,44,621,463
5762,5,7,2,"École élémentaire",250,"bis","Rue Saint-Jacques",48.843612,2.341649,1504,12,51,64,389,116,5,3,3,144,15,431,1504,54,665,553
5763,5,8,2,"École élémentaire",250,"bis","Rue Saint-Jacques",48.843612,2.341649,1582,16,59,46,521,95,1,4,3,124,10,380,1582,36,608,705
5764,5,9,2,"Lycée Lavoisier",17,"","Rue Henri-Barbusse",48.842339,2.3392,1495,9,69,54,419,104,3,3,4,131,18,446,1496,45,691,581
5765,5,10,2,"Lycée Lavoisier",10,"","Rue Pierre-Nicole",48.841871,2.340311,1432,14,59,41,364,90,2,3,7,151,9,423,1432,37,650,504
5766,5,11,2,"École élémentaire",41,"","Rue de l'Arbalète",48.83935,2.346224,1501,13,51,55,353,139,12,4,2,151,11,455,1504,47,746,501
5767,5,12,2,"École élémentaire",41,"","Rue de l'Arbalète",48.83935,2.346224,1491,18,52,65,354,130,5,7,1,125,11,460,1492,45,735,496
5768,5,13,2,"Annexe du Collège Pierre Alviset",51,"","Rue Lhomond",48.841376,2.348402,1256,10,51,101,281,100,14,5,3,106,7,314,1255,50,545,452
5769,5,14,2,"Collège Pierre Alviset",88,"","Rue Monge",48.84149,2.351958,1326,7,63,77,285,133,5,2,2,83,8,442,1328,27,704,426
5770,5,15,2,"Collège Pierre Alviset",88,"","Rue Monge",48.84149,2.351958,1467,13,59,69,303,126,10,4,3,129,10,468,1467,53,743,437
5771,5,16,2,"Collège Pierre Alviset",88,"","Rue Monge",48.84149,2.351958,1399,15,61,49,325,124,7,2,7,104,10,445,1398,28,706,462
5772,5,17,2,"Collège Raymond Queneau",66,"","Boulevard Saint-Marcel",48.837754,2.354728,1442,12,63,59,294,123,18,2,2,124,10,446,1441,46,708,440
5773,5,18,2,"Collège Raymond Queneau",66,"","Boulevard Saint-Marcel",48.837754,2.354728,1391,12,43,61,383,130,8,2,4,107,11,408,1392,46,641,507
5774,5,19,2,"Gymnase Poliveau",39,"bis","Rue Poliveau",48.839872,2.357618,1371,7,35,59,380,106,5,4,3,115,14,400,1371,37,610,526
5775,5,20,2,"École élémentaire",11,"","Rue Buffon",48.842697,2.361893,1530,14,57,103,396,122,7,6,4,145,13,438,1529,41,694,578
5776,5,21,2,"École maternelle",27,"","Rue de Poissy",48.848288,2.351955,1344,14,66,52,309,118,8,2,0,116,12,410,1345,41,658,454
5777,5,22,2,"École élémentaire",21,"","Rue de Pontoise",48.848822,2.35123,1343,7,55,54,386,91,6,1,0,96,10,396,1343,32,611,526
5778,5,23,2,"École Sainte Catherine",13,"bis","Rue des Bernardins",48.85026,2.350778,1452,12,43,76,422,125,6,2,5,121,11,331,1452,38,593,586
5779,5,24,2,"École élémentaire",19,"","Rue des Boulangers",48.845922,2.352881,1442,10,67,61,279,139,7,3,5,131,15,465,1442,36,763,442
