index;Région;Département;Nom;Département?;Inscrits;Absention;Nuls;joly;lepen;sarkozy;melenchon;poutou;arthaud;cheminade;bayrou;dupontaignan;hollande
1;RHONE-ALPES;AIN(01);AIN(01);True;393808;65996;6490;7268;66531;97708;30895;3322;1792;860;32647;7208;73091
2;RHONE-ALPES;AIN(01);L'Abergement-Clémenciat;False;592;84;9;13;126;159;25;2;2;2;54;4;112
3;RHONE-ALPES;AIN(01);L'Abergement-de-Varey;False;215;36;5;10;38;45;15;2;0;1;22;2;39
4;RHONE-ALPES;AIN(01);Ambérieu-en-Bugey;False;8205;1698;126;124;1359;1603;778;83;41;21;543;138;1691
5;RHONE-ALPES;AIN(01);Ambérieux-en-Dombes;False;1152;170;18;16;238;323;57;6;6;0;97;26;195
6;RHONE-ALPES;AIN(01);Ambléon;False;105;17;1;3;25;19;9;1;1;0;8;0;21
7;RHONE-ALPES;AIN(01);Ambronay;False;1702;222;29;26;330;371;190;10;12;5;141;34;332
8;RHONE-ALPES;AIN(01);Ambutrix;False;549;68;7;8;112;109;51;8;0;1;55;5;125
9;RHONE-ALPES;AIN(01);Andert-et-Condon;False;269;40;4;5;40;69;33;4;1;2;27;6;38
10;RHONE-ALPES;AIN(01);Anglefort;False;681;99;12;7;155;130;68;4;6;1;47;15;137
11;RHONE-ALPES;AIN(01);Apremont;False;255;30;7;4;50;62;34;2;0;1;22;6;37
12;RHONE-ALPES;AIN(01);Aranc;False;287;55;7;4;42;54;46;2;3;1;19;2;52
13;RHONE-ALPES;AIN(01);Arandas;False;140;16;2;2;31;40;9;0;0;0;18;2;20
14;RHONE-ALPES;AIN(01);Arbent;False;2163;434;24;21;273;499;190;12;6;6;162;37;499
15;RHONE-ALPES;AIN(01);Arbignieu;False;388;54;4;6;60;102;41;1;1;1;42;7;69
16;RHONE-ALPES;AIN(01);Arbigny;False;309;71;6;3;60;71;18;3;3;0;28;5;41
17;RHONE-ALPES;AIN(01);Argis;False;296;50;4;8;59;51;41;8;4;1;15;6;49
18;RHONE-ALPES;AIN(01);Armix;False;37;2;0;3;6;9;5;1;1;0;2;0;8
19;RHONE-ALPES;AIN(01);Ars-sur-Formans;False;896;71;27;7;173;326;49;12;2;2;89;14;124
20;RHONE-ALPES;AIN(01);Artemare;False;813;144;6;13;167;167;77;9;6;4;55;19;146
21;RHONE-ALPES;AIN(01);Asnières-sur-Saône;False;48;3;1;0;15;14;3;0;0;0;3;1;8
22;RHONE-ALPES;AIN(01);Attignat;False;2052;249;38;30;400;523;164;28;4;3;224;35;354
23;RHONE-ALPES;AIN(01);Bâgé-la-Ville;False;2117;303;61;32;426;451;167;15;10;6;162;49;435
24;RHONE-ALPES;AIN(01);Bâgé-le-Châtel;False;562;101;15;6;76;164;37;3;4;3;46;10;97
25;RHONE-ALPES;AIN(01);Balan;False;1071;145;19;14;231;298;64;4;7;1;83;26;179
26;RHONE-ALPES;AIN(01);Baneins;False;434;84;13;9;92;115;29;3;2;1;22;4;60
27;RHONE-ALPES;AIN(01);Beaupont;False;406;76;6;4;88;86;34;3;2;2;31;6;68
28;RHONE-ALPES;AIN(01);Beauregard;False;520;96;7;10;111;122;39;7;2;1;33;10;82
29;RHONE-ALPES;AIN(01);Bellignat;False;2085;525;28;25;342;463;162;17;8;4;122;27;362
30;RHONE-ALPES;AIN(01);Béligneux;False;2015;368;36;29;453;422;137;17;13;3;143;36;358
31;RHONE-ALPES;AIN(01);Bellegarde-sur-Valserine;False;6046;1343;79;108;801;1029;622;62;29;14;386;83;1490
32;RHONE-ALPES;AIN(01);Belley;False;5474;986;113;90;883;1191;539;51;15;8;382;79;1137
