"Référendum 2005","Régionales 2007","PR2007 1er tour","PR2007 2ème tour","PR2012 1er tour","PR2012 2ème tour"
"A voté oui","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention","Blanc,nul, abstention, sans réponse"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"Sans opinion","Listes Front de gauche - PC","Olivier Besancenot","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"A voté oui","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","François Hollande","François Hollande"
"Sans opinion","Listes Verts","Ségolène Royal","Ségolène Royal","Philippe Poutou","François Hollande"
"A voté non","Listes Front de gauche - PC","Marie-George Buffet","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"Sans opinion","Abstention, blanc, nul, sans réponse","Abstention, blanc, nul, sans réponse","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"A voté oui","Listes Verts","Nicolas Sarkozy","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"A voté oui","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","Jean-Luc Mélenchon","François Hollande"
"A voté oui","Listes UMP - NC","Frédéric Nihous / Philippe de Villiers","Nicolas Sarkozy","Abstention","Nicolas Sarkozy"
"A voté non","Listes PS","Ségolène Royal","Ségolène Royal","François Hollande","François Hollande"
"A voté oui","Listes UMP - NC","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy","Nicolas Sarkozy"
