id, name
0,Bayshore Freeway
1,Junipero Serra Freeway
2,Nimitz Freeway
3,AT&amp;T Park
4,J Arthur Younger Freeway
5,Decoto Road
6,Nimitz Freeway
7,Lake Merced
8,J Arthur Younger Freeway
9,Bayshore Freeway
10,Macondray Lane
11,Stonewall-Panoramic Trail
12,Stonewall-Panoramic Trail
13,Bayshore Freeway
14,James Lick Freeway
15,Dwight Way
16,Panoramic Place
17,Grizzly Peak Boulevard
18,Grizzly Peak Boulevard
19,Claremont Avenue
20,Stonewall Road
21,Centennial Drive
22,Centennial Drive
23,Panoramic Way
24,Smyth Road
25,Hillside Avenue
26,Canyon Road
27,Dwight Place
28,Fernwald Road
29,Mosswood Road
30,Arden Road
31,Eastshore Freeway
32,Wildcat Gorge Trail
33,Curran Trail
34,Meadows Canyon Trail
35,Eastshore - Dumbarton 115 kV transmission line
36,Moraga - Castro Valley 230kV transmission line
37,Castro Valley Freeway
38,Bay Area Rapid Transit
39,Union Pacific Railroad
40,Bay Area Rapid Transit
41,Water Street
42,Franklin Street
43,6th Street
44,West 10th Street
45,12th Street
46,Park Boulevard
47,West 15th Street
48,Sacramento Street
49,Bay Area Rapid Transit
50,Bay Area Rapid Transit
51,18th Street
52,Cleveland Cascade
53,Midway Street
54,Warren Freeway
55,Sanborn Drive
56,Bridgeview Drive
57,Dyer Street
58,Arlington Avenue
59,Live Oak Terrace
60,Carson Drive
61,West 8th Street
62,West 17th Street
63,West 21st Street
64,58th Street
65,Tulagi Street
66,Addison Street
67,Drake Lane
68,Hillery Way
69,Tartan Way
70,Grove Shafter Freeway
71,7th Street
72,West 11th Street
73,Shawnee Court
74,Neil Armstrong Way
75,Grand Avenue
76,Euclid Avenue
77,Euclid Avenue
78,Joaquin Miller Road
79,West 19th Street
80,Alan Shepard Way
81,East 12th Street
82,Decoto Road
83,6th Street
84,Bluxome Street
85,Nelson Rising Lane
86,Mission Bay Boulevard
87,Buena Vista Park
88,Colusa Avenue
89,Sutter Street
90,Northbrae Tunnel
91,Albany Waterfront Trail
92,Piedmont Avenue
93,Russell Street
94,San Pablo Park
95,People&apos;s Park
96,Ohlone Greenway
97,Ohlone Greenway
98,Cedar-Rose Park
99,Roy E. Oakes Tennis Courts
100,Ohlone Park
101,Moraga - Lakewood 115kV transmission line
102,Moraga - Oakland 115kV transmission line
103,Strawberry Hollow
104,Dewing Avenue
105,Nordstrom Lane
106,Harran Circle
107,Bickerstaff Road
108,Amber Valley Drive
109,Paulson Court
110,Monson Lane
111,Legion Court
112,Risa Road
113,Glen Road
114,Dollis Park Road
115,Moon Court
116,Kingingwood Lane
117,Hough Avenue
118,Alta Mesa
119,Wilson Road
120,Candle Terrace
121,Hilltop Drive
122,Oak Flat Road
123,Acalanes Road
124,Rose Court
125,Wildwood Lane
126,Van Ripper Lane
127,Dahlia Court
128,Altarinda Circle
129,Hastings Court
130,Sugarloaf Terrace
131,Arlington Avenue
132,Janet Lane
133,Fallen Leaf Terrace
134,Irving Court
135,North Thompson Road
136,North Thompson Road
137,Tammy Court
138,Charles Hill Lane
139,Conntra Costa Canal Canal Trail
140,Charles Hill Road
141,Saint Francis Drive
142,El Pulgar
143,Via Las Cruces
144,Cerrito Court
145,Sierra Gardens
146,Franklin Lane
147,Glorietta Boulevard
148,Woodside Court
149,Oak Hill Road
150,Crescent Drive
151,Costanoan Trail
152,Valente Court
153,Lincoln Way
154,Dolores Drive
155,Songbird Court
156,Via Nueva
157,Coachwood Terrace
158,Glen Court
159,Chestnut Street
160,Wilson Court
161,West Creek Court
162,Brook Street
163,San Pablo Avenue
164,Fiora Place
165,West Arbor Way
166,Walnut Street
167,Bell Street
168,West Road
169,Sunnyhills Road
170,Village Center
171,Hidden Valley Road
172,Meadow Lane
173,Arbor Way
174,Sundale Road
175,Natasha Drive
176,Irving Lane
177,Gardiner Court
178,Saint Francis Court
179,Mosswood Drive
180,Grizzly Peak Trail
181,Grizzly Peak Trail
182,Vollmer Peak Trail
183,Vollmer Peak Trail
184,Vollmer Peak Trail
185,Lupine Trail
186,Tower Trail
187,Vollmer Peak Trail
188,Seaview Trail
189,Seaview Drive
190,Redwood Trail
191,Quarry Trail
192,Big Springs Trail
193,Quarry Trail
194,Ohlone Greenway
195,Alvarez Road
196,Aruba Lane
197,Grenada Lane
198,Vandewater Street
199,Hawes Street
200,Hawes Street
201,Hawes Street
202,12th Avenue
203,12th Avenue
204,12th Avenue
205,12th Avenue
206,12th Avenue
207,12th Avenue
208,Berwick Place
209,Baker Court
210,Jamestown Avenue
211,Jamestown Avenue
212,Louisburg Street
213,Quarry Road
214,Bosworth Street
215,Bosworth Street
216,Liebig Street
217,Fitch Street
218,Fitch Street
219,Fitch Street
220,Clarendon Woods Avenue
221,Aquavista Way
222,Fowler Avenue
223,Dehon Street
224,Lake Merced Bike Path
225,Vista Access Road
226,Skunk Alley
227,Sunset Boulevard
228,Sunset Boulevard
229,Bayshore Boulevard
230,Lyon Street
231,Thomas Avenue
232,Gardener Road
233,Utah Street
234,Martinez Street
235,Dukes Court
236,Blandy Street
237,Mahan Street
238,Starr King Way
239,Lansing Street
240,Norton Street
241,Knockash Hill
242,Fargo Place
243,Vinton Court
244,Youngs Court
245,Fulton Street
246,Fulton Street
247,Panorama Drive
248,Kenneth Rexroth Place
249,San Buenaventura Way
250,5th Avenue
251,3rd Avenue
252,3rd Avenue
253,Wawona Street
254,Roanoke Street
255,Newman Street
256,Coso Avenue
257,Coso Avenue
258,Castelo Avenue
259,Ralston Avenue
260,Nadell Court
261,Noriega Street
262,Noriega Street
263,Noriega Street
264,Noriega Street
265,Noriega Street
266,Noriega Street
267,Noriega Street
268,Gen. Kennedy Avenue
269,Mabel Alley
270,Highland Avenue
271,Highland Avenue
272,Justin Drive
273,Justin Drive
274,Apollo Street
275,Langdon Court
276,Langdon Court
277,Blairwood Lane
278,Colton Street
279,San Miguel Street
280,Prosper Street
281,Lurmont Terrace
282,Hutchins Court
283,Isis Street
