id,osmid,name,lanes
0,4311275,Bayshore Freeway,4
1,4352168,Junipero Serra Freeway,4
2,4699870,Nimitz Freeway,4
3,4859362,J Arthur Younger Freeway,2
4,4958463,Decoto Road,2
5,4958699,Nimitz Freeway,4
6,4970189,J Arthur Younger Freeway,2
7,4970206,Bayshore Freeway,4
8,5004035,Macondray Lane,
9,5050916,Stonewall-Panoramic Trail,
10,5050917,Stonewall-Panoramic Trail,
11,5071579,Bayshore Freeway,4
12,5071582,James Lick Freeway,5
13,5072891,Dwight Way,
14,5072894,Panoramic Place,
15,5149901,Grizzly Peak Boulevard,
16,5149902,Grizzly Peak Boulevard,
17,5149903,Claremont Avenue,2
18,5149907,Stonewall Road,
19,5149909,Centennial Drive,
20,5149910,Centennial Drive,
21,5149913,Panoramic Way,
22,5149916,Smyth Road,
23,5149917,Hillside Avenue,
24,5149920,Canyon Road,
25,5149922,Dwight Place,
26,5150501,Fernwald Road,
27,5150502,Mosswood Road,
28,5150503,Arden Road,
29,5165991,Eastshore Freeway,6
30,6202491,Wildcat Gorge Trail,
31,6202493,Curran Trail,
32,6202494,Meadows Canyon Trail,
33,6324450,Castro Valley Freeway,2
34,6329287,Water Street,
35,6329571,Franklin Street,
36,6330308,6th Street,
37,6330425,West 10th Street,
38,6330439,12th Street,
39,6331826,Park Boulevard,4
40,6332401,West 15th Street,
41,6336821,Sacramento Street,
42,6340357,18th Street,
43,6340370,Cleveland Cascade,
44,6341515,Midway Street,
45,6342279,Warren Freeway,2
46,6343684,Sanborn Drive,
47,6344377,Bridgeview Drive,
48,6344844,Dyer Street,
49,6348657,Arlington Avenue,
50,6349245,Live Oak Terrace,
51,6353041,Carson Drive,
52,6358368,West 8th Street,
53,6363469,West 17th Street,
54,6369513,West 21st Street,
55,6370305,58th Street,1
56,6372138,Tulagi Street,
57,6377365,Addison Street,
58,6378193,Drake Lane,
59,6379649,Hillery Way,
60,6380915,Tartan Way,
61,6380984,Grove Shafter Freeway,2
