id,lon,lat,streets,alt
60909,-122.3948724,37.720189,Ingerson & Jennings,18.06305504
59380,-122.3907745,37.7348483,3rd & Oakdale,21.05440903
58188,-122.438773,37.788278,Scott & California,54.41057968
58185,-122.43384,37.788906,California & Fillmore,56.20703506
58187,-122.437129,37.788488,Pierce & California,52.63968658
58186,-122.435486,37.788697,California & Steiner,53.77789307
58563,-122.431256,37.745032,28th & Noe,85.79895782
150569,-122.390154,37.7907372,The Embarcadero & Folsom,2.690463305
70927,-122.3993626,37.7883576,Anthony & Mission,5.672060966
56527,-122.4763683,37.7374113,Wawona & 20th,77.23443604
56526,-122.475357,37.7374545,Wawona & 19th,83.37819672
56528,-122.4774444,37.7373653,21st & Wawona,71.5842514
68343,-122.447797,37.7424196,Del Vale & Evelyn,166.7363739
68341,-122.4020835,37.7802241,Jennifer Place,3.281666279
68635,-122.4146855,37.8026138,Lombard & Taylor,9.576943398
68634,-122.4136684,37.7976671,Fallon Place & Taylor,83.13808441
63366,-122.4233586,37.7575702,Liberty & Guerrero,30.60347748
58965,-122.414173,37.745095,Manchester & Stoneman,59.33435059
58966,-122.414086,37.744184,Manchester,83.41217804
73531,-122.415034,37.73092,Sweeny & Colby,48.62142181
64140,-122.4649981,37.7424201,Verdun & Lenox,125.3819962
75996,-122.4480229,37.7271859,West,82.43286896
58206,-122.4591919,37.7856878,Arguello & California,63.09146118
58207,-122.460308,37.785539,2nd & California,60.45084763
67953,-122.476699,37.800946,Battery Safford & Battery Dynamite,100.5387192
192454,-122.3930699,37.7627858,18th,25.90877914
74044,-122.424519,37.7398569,Arlington & Randall,57.69007874
69239,-122.42898,37.736386,Mateo & Chenery,86.12918091
69240,-122.428431,37.7358557,Mateo & Arlington,75.61836243
69238,-122.4300852,37.7374536,Mateo & Bemis,111.4291229
69236,-122.461262,37.721831,Jules & Holloway,91.17145538
58643,-122.4837916,37.7820551,24th & Clement,42.09181976
67112,-122.4458654,37.7216285,Seneca & San Jose,67.60945129
61094,-122.465564,37.7216744,Victoria & Holloway,85.90303802
69431,-122.404525,37.791652,Saint George & Pine,17.4983902
69183,-122.397043,37.745974,Toland & Galvez,3.210301161
882778,-122.3880282,37.7817501,Herb Caen,2.737666845
1066621,-122.4637914,37.7736187,Fulton & 6th,71.27005005
177187,-122.4230964,37.779261,Ash,21.92379761
531027,-122.4850006,37.7239612,Lake Merced & Font,30.69498444
341142,-122.4366684,37.7649113,De Forest,81.40129089
68377,-122.4787716,37.7410404,Ulloa & 22nd,81.20700836
68376,-122.4789026,37.7429113,Taraval & 22nd,96.23503876
58562,-122.429037,37.745165,28th & Sanchez,52.52132034
1189553,-122.4674556,37.8036836,Mason,5.345990658
59814,-122.432299,37.767528,Walter & 14th,45.86248779
