x,y,z
0,0,14.8356533051
0,1,41.3112983704
0,2,66.0313339233
0,3,92.9832077026
0,4,93.9376602173
0,5,111.611679077
0,6,3.03584361076
0,7,-3.83316087723
0,8,-11.9843091965
0,9,-13.7763805389
0,10,-14.714138031
0,11,-16.1626930237
0,12,-20.2846031189
0,13,-28.6047229767
0,14,-36.4449234009
0,15,-36.5570144653
0,16,-38.4368438721
0,17,-39.9029579163
0,18,-37.7223205566
0,19,-41.7544784546
0,20,-40.0445709229
0,21,-38.5279693604
0,22,-38.9410476685
0,23,-37.1467857361
0,24,-39.0869941711
0,25,-40.5823287964
0,26,-41.1157798767
0,27,-41.9411697388
0,28,-39.6069030762
0,29,-38.1735572815
0,30,-37.0588989258
0,31,-35.7332611084
0,32,-34.1503105164
0,33,-32.0575637817
0,34,-30.3749141693
0,35,-28.1755695343
0,36,-14.1815042496
0,37,-9.19716930389
0,38,-0.948289692402
0,39,-0.0373455286026
0,40,-0.0339799784124
0,41,-0.319133281708
0,42,-1.02420818806
0,43,-2.01071667671
0,44,-2.18456864357
0,45,-2.20225191116
0,46,-3.31035757065
0,47,-5.440513134
0,48,-5.56024742126
0,49,-5.95789384842
0,50,-7.13107442856
0,51,-6.88256645203
0,52,-6.86773061752
0,53,-6.22859096527
0,54,-6.45783662796
0,55,-6.56817436218
0,56,-6.68745136261
0,57,-7.16822242737
0,58,-7.46143722534
0,59,-8.05655193329
0,60,-8.72038173676
0,61,-8.85813903809
0,62,-9.05830192566
0,63,-9.21277236938
0,64,-9.35702896118
0,65,-9.65284347534
0,66,-9.99931526184
0,67,-10.2392721176
0,68,-10.3969860077
0,69,-10.4364347458
0,70,-10.7653036118
0,71,-10.7778215408
0,72,-11.037109375
0,73,-11.1035118103
0,74,-11.511721611
0,75,-11.5308036804
0,76,-11.5823011398
0,77,-11.8164625168
0,78,-11.7476587296
0,79,-11.9008979797
0,80,-12.2438564301
0,81,-13.2449636459
0,82,-12.2898864746
0,83,-12.1741132736
0,84,-12.5539093018
0,85,-12.5316009521
0,86,-12.6765460968
0,87,-13.0839633942
0,88,-13.1786699295
0,89,-13.4858474731
0,90,-13.3697786331
0,91,-13.6494560242
0,92,-13.7659864426
0,93,-14.1214075089
0,94,-14.2865257263
0,95,-14.6769390106
1,0,17.3926868439
1,1,22.0315532684
1,2,33.0556373596
1,3,52.0863609314
1,4,81.0283584595
1,5,81.7769088745
1,6,3.04595708847
1,7,-0.184260606766
1,8,-11.5884933472
1,9,-13.1076221466
1,10,-15.0559272766
1,11,-16.7572498322
1,12,-22.9190177917
1,13,-32.5187644958
1,14,-38.0925483704
1,15,-36.5531005859
1,16,-39.0395126343
1,17,-38.7492218018
1,18,-35.7398986816
1,19,-37.5566329956
1,20,-32.9192962646
1,21,-34.4456176758
1,22,-37.6171035767
1,23,-35.3213539124
1,24,-37.5605049133
1,25,-41.1351165771
1,26,-39.9851226807
1,27,-43.3144073486
1,28,-42.3290405273
1,29,-40.7750854492
1,30,-37.7423324585
1,31,-34.5099563599
1,32,-32.5341758728
1,33,-31.0249919891
1,34,-25.6096687317
1,35,-15.6062803268
1,36,-4.72472810745
1,37,-0.667559027672
1,38,1.17549435082e-38
1,39,1.17549435082e-38
1,40,1.17549435082e-38
1,41,1.17549435082e-38
1,42,-0.151434257627
1,43,-0.563616991043
1,44,-0.597449183464
1,45,-0.597449183464
1,46,-0.625155925751
1,47,-0.632861614227
1,48,-0.655057132244
1,49,-0.74196690321
1,50,-1.12632238865
1,51,-1.187266469
1,52,-1.187266469
1,53,-1.15385866165
1,54,-1.13279771805
1,55,-1.24788033962
1,56,-1.56438803673
1,57,-1.5675624609
1,58,-2.20405173302
1,59,-3.49304485321
1,60,-4.69191741943
1,61,-4.96744441986
1,62,-6.45380926132
1,63,-7.27762842178
1,64,-7.5047044754
1,65,-8.06984424591
1,66,-8.48115062714
1,67,-8.63593196869
1,68,-8.96364021301
1,69,-9.10763168335
1,70,-9.29317760468
1,71,-9.5652589798
1,72,-9.82732009888
1,73,-9.98691558838
1,74,-10.1860132217
1,75,-10.5160331726
1,76,-10.7833871841
1,77,-10.9550447464
1,78,-11.1066513062
1,79,-11.4921035767
1,80,-11.7086277008
1,81,-11.9984388351
1,82,-11.9644365311
1,83,-11.8381729126
1,84,-11.9566793442
1,85,-12.1830482483
1,86,-12.3900699615
1,87,-12.5435113907
1,88,-12.7202320099
1,89,-12.7802190781
1,90,-12.9144449234
1,91,-13.0962715149
1,92,-13.2996587753
1,93,-13.51912117
1,94,-13.869383812
1,95,-14.1216201782
2,0,23.0980682373
2,1,21.1326179504
2,2,45.1993522644
2,3,53.4762992859
2,4,83.4104919434
2,5,87.7527999878
2,6,3.08279037476
2,7,-0.337764143944
2,8,-10.7438755035
2,9,-12.7008390427
2,10,-15.6235017776
2,11,-17.7757530212
2,12,-26.1861896515
2,13,-35.6030311584
2,14,-38.8172950745
2,15,-38.7005348206
2,16,-40.4719696045
2,17,-36.8196754456
2,18,-36.901889801
2,19,-36.7861213684
2,20,-36.6117630005
2,21,-39.4613952637
2,22,-38.8530235291
2,23,-40.1825256348
2,24,-39.985206604
2,25,-42.62317276
2,26,-43.3387260437
2,27,-46.9768180847
2,28,-46.3663063049
2,29,-46.088470459
2,30,-40.9445571899
2,31,-33.4074668884
2,32,-28.4540615082
2,33,-22.8959274292
2,34,-14.1619749069
2,35,-14.7717523575
2,36,-1.30443775654
2,37,1.17549435082e-38
2,38,1.17549435082e-38
2,39,4.99262809753
2,40,1.08585512638
2,41,1.71664512157
2,42,0.170553803444
2,43,0.30702278018
2,44,0.180414408445
2,45,1.17549435082e-38
2,46,1.17549435082e-38
2,47,1.17549435082e-38
2,48,1.17549435082e-38
2,49,-0.019125347957
2,50,-0.114956706762
2,51,-0.120147615671
2,52,-0.119979508221
2,53,-0.114246718585
2,54,-0.114246718585
2,55,-0.387601107359
2,56,-0.501446664333
2,57,-0.524237573147
2,58,-0.524237573147
2,59,-0.524237573147
2,60,-0.524237573147
2,61,-0.647529780865
2,62,-0.932028234005
2,63,-0.974804759026
2,64,-0.974804759026
2,65,-1.02094173431
2,66,-1.25943028927
2,67,-3.219871521
2,68,-4.89915704727
2,69,-5.93887329102
2,70,-6.78835535049
2,71,-7.51494598389
2,72,-7.87078857422
2,73,-8.22965240479
2,74,-8.53782653809
2,75,-8.86013412476
2,76,-9.10472011566
2,77,-9.54725265503
2,78,-9.81361675262
2,79,-10.1800603867
2,80,-10.315987587
2,81,-10.636590004
2,82,-10.8377380371
2,83,-11.0426807404
2,84,-11.3054208755
2,85,-11.6300764084
2,86,-11.7702188492
2,87,-12.099149704
2,88,-12.337477684
2,89,-12.1325063705
2,90,-12.3653745651
2,91,-12.5324878693
2,92,-12.7163791656
2,93,-12.9591217041
2,94,-13.1654062271
2,95,-13.5477342606
3,0,27.9144973755
3,1,26.5748405457
3,2,72.0441894531
3,3,96.8585739136
3,4,102.805053711
3,5,91.1099014282
3,6,30.773355484
3,7,3.00743460655
3,8,-10.8418159485
3,9,-16.4261379242
3,10,-17.1774654388
3,11,-21.2439823151
3,12,-31.4874210358
3,13,-38.1015281677
3,14,-42.5754852295
3,15,-42.6446342468
3,16,-41.7543067932
3,17,-41.1180419922
3,18,-39.6756629944
3,19,-37.3252830505
3,20,-41.7861633301
3,21,-41.1837234497
3,22,-41.2554855347
3,23,-40.610584259
3,24,-42.0990028381
3,25,-44.530040741
3,26,-46.1704406738
3,27,-49.4477920532
3,28,-49.9803123474
3,29,-33.1289138794
3,30,-34.7280426025
3,31,-26.4251174927
3,32,-20.8060035706
3,33,-11.472281456
3,34,-9.20418643951
3,35,-8.75166606903
3,36,1.17549435082e-38
3,37,0.797659158707
3,38,36.0306625366
3,39,36.8626251221
3,40,28.4193553925
3,41,51.0051956177
3,42,3.3105802536
3,43,3.26190495491
3,44,2.93717980385
3,45,2.86557126045
3,46,2.28894972801
3,47,1.53002893925
3,48,0.453029453754
3,49,0.9843339324
3,50,1.19990503788
3,51,0.738307774067
3,52,0.424346089363
3,53,1.17549435082e-38
3,54,1.17549435082e-38
3,55,1.17549435082e-38
3,56,1.17549435082e-38
3,57,1.17549435082e-38
3,58,1.01261456395e-38
3,59,3.88443437557e-39
3,60,0
3,61,-0.0417738519609
3,62,-0.0787653476
3,63,-0.0876220017672
3,64,-0.0905920118093
3,65,-0.094479508698
3,66,-0.295387595892
3,67,-0.449033260345
3,68,-0.465004235506
3,69,-0.467235267162
