id,osmid,name,lanes,len,maxUsed
0,4311275,Bayshore Freeway,4,56,2.0
1,4352168,Junipero Serra Freeway,4,1,2.0
2,4699870,Nimitz Freeway,4,10,2.0
3,4859362,J Arthur Younger Freeway,2,21,2.0
4,4958463,Decoto Road,2,1,1.0
5,4958699,Nimitz Freeway,4,1,2.0
6,4970189,J Arthur Younger Freeway,2,10,2.0
7,4970206,Bayshore Freeway,4,9,2.0
8,5004035,Macondray Lane,,1,2.0
9,5050916,Stonewall-Panoramic Trail,,44,2.0
10,5050917,Stonewall-Panoramic Trail,,56,2.0
11,5071579,Bayshore Freeway,4,8,2.0
12,5071582,James Lick Freeway,5,3,2.0
13,5072891,Dwight Way,,29,2.0
14,5072894,Panoramic Place,,5,1.0
15,5149901,Grizzly Peak Boulevard,,87,2.0
16,5149902,Grizzly Peak Boulevard,,148,2.0
17,5149903,Claremont Avenue,2,18,2.0
18,5149907,Stonewall Road,,31,2.0
19,5149909,Centennial Drive,,61,2.0
20,5149910,Centennial Drive,,15,2.0
21,5149913,Panoramic Way,,85,3.0
22,5149916,Smyth Road,,9,1.0
23,5149917,Hillside Avenue,,11,2.0
24,5149920,Canyon Road,,7,2.0
25,5149922,Dwight Place,,6,1.0
26,5150501,Fernwald Road,,5,3.0
27,5150502,Mosswood Road,,16,2.0
28,5150503,Arden Road,,14,2.0
29,5165991,Eastshore Freeway,6,4,2.0
30,6202491,Wildcat Gorge Trail,,49,3.0
31,6202493,Curran Trail,,10,3.0
32,6202494,Meadows Canyon Trail,,91,2.0
33,6324450,Castro Valley Freeway,2,9,2.0
34,6329287,Water Street,,1,1.0
35,6329571,Franklin Street,,1,3.0
36,6330308,6th Street,,3,2.0
37,6330425,West 10th Street,,2,2.0
38,6330439,12th Street,,11,2.0
39,6331826,Park Boulevard,4,38,2.0
40,6332401,West 15th Street,,1,1.0
41,6336821,Sacramento Street,,4,3.0
42,6340357,18th Street,,6,2.0
43,6340370,Cleveland Cascade,,1,1.0
44,6341515,Midway Street,,4,2.0
45,6342279,Warren Freeway,2,23,2.0
46,6343684,Sanborn Drive,,64,3.0
47,6344377,Bridgeview Drive,,18,2.0
48,6344844,Dyer Street,,21,2.0
49,6348657,Arlington Avenue,,53,1.0
50,6349245,Live Oak Terrace,,1,2.0
51,6353041,Carson Drive,,1,2.0
52,6358368,West 8th Street,,1,1.0
53,6363469,West 17th Street,,3,1.0
54,6369513,West 21st Street,,1,1.0
55,6370305,58th Street,1,1,1.0
56,6372138,Tulagi Street,,1,1.0
57,6377365,Addison Street,,7,2.0
58,6378193,Drake Lane,,7,1.0
59,6379649,Hillery Way,,19,1.0
60,6380915,Tartan Way,,6,2.0
61,6380984,Grove Shafter Freeway,2,22,2.0
62,6385801,7th Street,4,12,2.0
63,6387456,West 11th Street,,3,2.0
64,6392460,Shawnee Court,,5,1.0
65,6396055,Neil Armstrong Way,,12,2.0
66,6399227,Grand Avenue,4,3,3.0
67,6400759,Euclid Avenue,2,3,2.0
68,6400775,Euclid Avenue,2,66,1.0
69,6401213,Joaquin Miller Road,,14,3.0
70,6405288,West 19th Street,,1,1.0
71,6405589,Alan Shepard Way,,11,1.0
72,6407619,East 12th Street,,13,2.0
73,6408133,Decoto Road,,12,2.0
74,7373728,6th Street,,4,2.0
75,7373736,Bluxome Street,,3,2.0
76,7448875,Nelson Rising Lane,,1,4.0
77,7448946,Mission Bay Boulevard,,1,3.0
78,7705909,Colusa Avenue,1,6,1.0
79,7705911,Sutter Street,2,2,2.0
80,7715654,Albany Waterfront Trail,,12,1.0
81,7781339,Piedmont Avenue,,4,2.0
82,7805666,Russell Street,,3,1.0
83,7805681,Ohlone Greenway,,2,2.0
84,7805688,Ohlone Greenway,,18,1.0
85,7854811,Strawberry Hollow,,1,1.0
86,7855374,Dewing Avenue,,2,4.0
87,7856157,Nordstrom Lane,,10,3.0
88,7857550,Harran Circle,,3,1.0
89,7858319,Bickerstaff Road,,9,4.0
