id	Label	lat	long
AUS	Australia	-25.274398	133.775136
AUT	Austria	47.516231	14.550072
BEL	Belgium	50.503887	4.469936
CAN	Canada	56.130366	-106.346771
CHL	Chile	-35.675147	-71.542969
CZE	Czech Republic	49.817492	15.472962
DNK	Denmark	56.26392	9.501785
EST	Estonia	58.595272	25.013607
FIN	Finland	61.92411	25.748151
FRA	France	46.227638	2.213749
DEU	Germany	51.165691	10.451526
GRC	Greece	39.074208	21.824312
HUN	Hungary	47.162494	19.503304
ISL	Iceland	64.963051	-19.020835
IRL	Ireland	53.41291	-8.24389
ISR	Israel	31.046051	34.851612
ITA	Italy	41.87194	12.56738
JPN	Japan	36.204824	138.252924
KOR	Korea	35.907757	127.766922
LUX	Luxembourg	49.815273	6.129583
MEX	Mexico	23.634501	-102.552784
NLD	Netherlands	52.132633	5.291266
NZL	New Zealand	-40.900557	174.885971
NOR	Norway	60.472024	8.468946
POL	Poland	51.919438	19.145136
PRT	Portugal	39.399872	-8.224454
SVK	Slovak Republic	38.9455295	-77.0682235
SVN	Slovenia	46.151241	14.995463
ESP	Spain	40.463667	-3.74922
SWE	Sweden	60.128161	18.643501
CHE	Switzerland	46.818188	8.227512
TUR	Turkey	38.963745	35.243322
GBR	United Kingdom	55.378051	-3.435973
USA	United States	37.09024	-95.712891
BRA	Brazil	-14.235004	-51.92528
RUS	Russian Federation	61.52401	105.318756
IND	India	20.593684	78.96288
IDN	Indonesia	-0.789275	113.921327
CHN	China	35.86166	104.195397
ZAF	South Africa	-30.559482	22.937506
