	IW_HADI	IW_HNFW	JE_EMPL	JE_LTUR	JE_AWHW	HO_BASE	HO_SATH	WL_EWLH	WL_EWCS	WL_TNOW	HS_LEB	HS_SFRH	ES_EDUA	ES_STCS	SC_CONTA	SC_SNTWS	CG_TRASG	CG_VOTO	EQ_AIRP	EQ_SATE	PS_REPH	PS_FEIN	SW_LIFS	SW_PNEB
AUS	0.632577514	0.24595098	0.718980672	0.908413097	0.31015929897628	0.944444444	0.810714286	0.680860327	0.657037087	0.581979025	0.868131868	0.901754386	0.577980691	0.786259938	0.54040604797313	0.882978723	0.769230769	0.929452499	0.895603144	0.87987988	0.893644353	0.476584022	0.894769229	0.740315836
AUT	0.654324972	0.430567135	0.691422738	0.861270628	0.07506703901378	0.555555556	0.760714286	0.7741627	0.716141075	0.48828721	0.758241758	0.647368421	0.735817606	0.394890075	0.498127341	0.840425532	0.25	0.775156892	0.408218244	0.990990991	0.956896552	0.859504132	0.860615561	0.752827748
BEL	0.59700235	0.713761827	0.444942403	0.478980566	0.9474401160495	0.888888889	1	0.908848669	0.674260933	1	0.681318681	0.722807018	0.575986826	0.707709773	0.531835206	0.734042553	0.115384615	1	0.700100056	0.618618619	0.844827586	0.584022039	0.69888812	0.686893101
CAN	0.631735728	0.598532638	0.731430287	0.939189901	0.5155871783986	1	0.825	0.910935762	0.773992182	0.446645464	0.78021978	0.973684211	0.819779192	0.868198623	0.662160503429	0.877659574	0.846153846	0.298636659	0.840517842	0.816816817	0.853448276	0.94214876	0.960540595	0.685415754
CHL	0	0.75658363657201	0.314385563	0.45923625279222	0.80246948145487	0.333333333	0.310714286	0.829421473	0.99619095203444	0.040047036831903	0.571428571	0.56834929339204	0.553544334	0.211437119	0.15366282078085	0.340425532	0.15064824995504	0.577797014	0	0.612612613	0.301724138	0	0.627350977	0.426318021
CZE	0.271623181	0.118735902	0.551163997	0.656483353	0.75293658439164	0.333333333	0.642857143	0.795536051	0.476476308	0.41875568107623	0.406593407	0.505263158	0.873220442	0.464214144	0.352059925	0.537234043	0.423076923	0.548149751	0.741934124	0.753753754	0.827586207	0.280991736	0.468601815	0.29953987
DNK	0.479436552	0.245897153	0.843881576	0.936889868	0.5740125349225	0.666666667	0.867857143	0.898642178	0.868820637	0.872300278	0.571428571	0.729824561	0.645514938	0.61096086	0.640449438	0.957446809	0.346153846	0.939407055	0.804870133	1	0.879310345	0.914600551	1	1
EST	0.162486968	0.109774885	0.633517445	0.736863635	0.67550997841083	0.277777778	0.342857143	0.9241134	0.626970104	0.464719805	0.032967033	0.384210526	0.839495719	0.663991831	0.29588015	0.308510638	0.57959432552225	0.295390608	0.963018206	0.081081081	0.456896552	0.380165289	0.135486078	0.035506916
FIN	0.518950513	0.167726757	0.670116372	0.826068829	0.004189912200467	0.666666667	0.914285714	0.917886206	0.744089056	0.812515536	0.692307692	0.629824561	0.736219854	0.97026799	0.689138577	0.776595745	0.692307692	0.817355551	0.829057808	0.927927928	0.784482759	0.878787879	0.876123627	0.657115733
FRA	0.659644273	0.416423803	0.500183384	0.562895011	0.28084622564158	0.611111111	0.860714286	0.820254921	0.68506777	0.853527763	0.835164835	0.636842105	0.581301235	0.617104613	0.303370787	0.803191489	0.307692308	0.799826877	0.948563181	0.594594595	0.879310345	0.509641873	0.680626706	0.714903356
DEU	0.654147881	0.456886148	0.64228179	0.377367302	0.16524267913449	0.555555556	0.932142857	0.897659404	0.656609178	0.859704671	0.725274725	0.561403509	0.795562186	0.631915499	0.595505618	0.781914894	0.346153846	0.69681887	0.807614387	0.927927928	0.931034483	0.787878788	0.656534498	0.617443546
GRC	0.412005868	0.15627961	0.431234644	0.427908618	0.59358268575916	0.277777778	0.735714286	0.880786223	0.480489024	0.3386572469205	0.703296703	0.761403509	0.457449948	0.504472109	1	0.388297872	0.115384615	0.861285436	0.327012584	0.018018018	0.905172414	0.129476584	0.365939851	0.1761598
HUN	0.183846507	0.099435247	0.298848261	0.413794763	0.058153010592284	0.166666667	0.414285714	0.917795345	0.391545285	0.710964166	0.021978022	0.394736842	0.717128127	0.604492178	0.007490637	0.521276596	0.365384615	0.027916035	0.805982559	0.663663664	0.870689655	0.137741047	0	0.065261286
ISL	0.58411746168152	0.16132368612497	1	0.989846588	0.092474159295245	0.5	0.24164226302143	0.88513237361245	1	0.30774847263233	0.846153846	0.840350877	0.500102887	0.658040775	0.805243446	1	0.153846154	0.970785544	0.816657678	0.984984985	1	0.856749311	0.710305403	0.903691435
IRL	0.546610928	0.176474669	0.590208216	0.764191145	0.48598097182572	0.777777778	0.946428571	0.919035744	0.536817914	0.537867111	0.692307692	0.907017544	0.574275125	0.617302093	0.359550562	0.984042553	0.615384615	0.629733824	0.889999278	0.795795796	0.827586207	0.64738292	0.831507236	0.759947713
ISR	0.40050807620732	0.562222334	0.379529362	0.648230703	0.34994027212247	0.244042092	0.567857143	0.508127971	0.5614440072339	0.04264191984537	0.824175824	0.28660889821332	0.738445636	0.427400786	0.58987603039531	0.755319149	0.6297908626179	0.67885739	0.451356589	0.006006006	0.793103448	0.661157025	0.862895406	0.103197177
ITA	0.520919037	0.602720235	0.351590484	0.516987482	0.26906802895254	0.388888889	0.889285714	0.885618769	0.450491641	0.693375283	0.868131868	0.542105263	0.349318049	0.533198419	0.670411985	0.382978723	0.115384615	0.851330881	0.582945325	0.495495495	0.896551724	0.336088154	0.534942896	0.048225804
JPN	0.4985926	0.772038051	0.656774509	0.796956241	0.032904107965178	0.611111111	0.360714286	0.81712254356747	0.489506816	0.167905742	1	0	1	0.829742204	0.99384472629319	0.579787234	0.692307692	0.580610258	0.501987431	0.711711712	0.956896552	0.573002755	0.437258959	0.812269337
KOR	0.261332801	0.214123189	0.480473713	0.995436181	0.45156848337873	0.333333333	0.90037263911306	0.82025009482122	0.65822139652704	0.608343643	0.692307692	0.257894737	0.709322116	1	0.53715651050914	0.053191489	0.865384615	0.52759143	0.361483897	0.525525526	0.801724138	0.336088154	0.456721536	0.6981558
LUX	0.096271151558919	0.68320459578887	0.470848871	0.747501969	0.059809051148198	0.666666667	0.575	1	0.592656767	0.8430031280794	0.769230769	0.724561404	0.553207277	0.411463857	0.61423221	0.861702128	0.153846154	0.361610041	0.915428808	0.846846847	0.870689655	0.790633609	0.778923374	0.707798109
MEX	0.113687171	0.08975776	0.417184674	1	0.50150626631915	0.31647232614283	0.875	0.487766172	0.347264133	0	0.186813187	0.575438596	0.073894355	0	0.43735093998787	0.441489362	0.769230769	0.507898723	0.313653998	0.108108108	0	0.143250689	0.69262651	0.691383095
