Id	Path	Top-level category	Name	Value	Corner	x	y
0	flare>analytics>cluster	flare	AgglomerativeCluster	3938	0	89	167
0	flare>analytics>cluster	flare	AgglomerativeCluster	3938	1	167	167
0	flare>analytics>cluster	flare	AgglomerativeCluster	3938	2	167	192
0	flare>analytics>cluster	flare	AgglomerativeCluster	3938	3	89	192
1	flare>analytics>cluster	flare	CommunityStructure	3812	0	102	138
1	flare>analytics>cluster	flare	CommunityStructure	3812	1	167	138
1	flare>analytics>cluster	flare	CommunityStructure	3812	2	167	167
1	flare>analytics>cluster	flare	CommunityStructure	3812	3	102	167
2	flare>analytics>cluster	flare	HierarchicalCluster	6714	0	89	192
2	flare>analytics>cluster	flare	HierarchicalCluster	6714	1	167	192
2	flare>analytics>cluster	flare	HierarchicalCluster	6714	2	167	236
2	flare>analytics>cluster	flare	HierarchicalCluster	6714	3	89	236
3	flare>analytics>cluster	flare	MergeEdge	743	0	89	138
3	flare>analytics>cluster	flare	MergeEdge	743	1	102	138
3	flare>analytics>cluster	flare	MergeEdge	743	2	102	167
3	flare>analytics>cluster	flare	MergeEdge	743	3	89	167
4	flare>analytics>graph	flare	BetweennessCentrality	3534	0	192	92
4	flare>analytics>graph	flare	BetweennessCentrality	3534	1	218	92
4	flare>analytics>graph	flare	BetweennessCentrality	3534	2	218	161
4	flare>analytics>graph	flare	BetweennessCentrality	3534	3	192	161
5	flare>analytics>graph	flare	LinkDistance	5731	0	218	92
5	flare>analytics>graph	flare	LinkDistance	5731	1	259	92
5	flare>analytics>graph	flare	LinkDistance	5731	2	259	161
5	flare>analytics>graph	flare	LinkDistance	5731	3	218	161
6	flare>analytics>graph	flare	MaxFlowMinCut	7840	0	167	193
6	flare>analytics>graph	flare	MaxFlowMinCut	7840	1	259	193
6	flare>analytics>graph	flare	MaxFlowMinCut	7840	2	259	236
6	flare>analytics>graph	flare	MaxFlowMinCut	7840	3	167	236
7	flare>analytics>graph	flare	ShortestPaths	5914	0	167	161
7	flare>analytics>graph	flare	ShortestPaths	5914	1	259	161
7	flare>analytics>graph	flare	ShortestPaths	5914	2	259	193
7	flare>analytics>graph	flare	ShortestPaths	5914	3	167	193
8	flare>analytics>graph	flare	SpanningTree	3416	0	167	92
8	flare>analytics>graph	flare	SpanningTree	3416	1	192	92
8	flare>analytics>graph	flare	SpanningTree	3416	2	192	161
8	flare>analytics>graph	flare	SpanningTree	3416	3	167	161
9	flare>analytics>optimization	flare	AspectRatioBanker	7074	0	89	92
9	flare>analytics>optimization	flare	AspectRatioBanker	7074	1	167	92
9	flare>analytics>optimization	flare	AspectRatioBanker	7074	2	167	138
9	flare>analytics>optimization	flare	AspectRatioBanker	7074	3	89	138
10	flare>animate	flare	Easing	17010	0	365	0
10	flare>animate	flare	Easing	17010	1	439	0
10	flare>animate	flare	Easing	17010	2	439	116
10	flare>animate	flare	Easing	17010	3	365	116
11	flare>animate	flare	FunctionSequence	5842	0	294	40
11	flare>animate	flare	FunctionSequence	5842	1	365	40
11	flare>animate	flare	FunctionSequence	5842	2	365	81
11	flare>animate	flare	FunctionSequence	5842	3	294	81
12	flare>animate>interpolate	flare	ArrayInterpolator	1983	0	395	137
12	flare>animate>interpolate	flare	ArrayInterpolator	1983	1	435	137
12	flare>animate>interpolate	flare	ArrayInterpolator	1983	2	435	162
12	flare>animate>interpolate	flare	ArrayInterpolator	1983	3	395	162
13	flare>animate>interpolate	flare	ColorInterpolator	2047	0	435	116
13	flare>animate>interpolate	flare	ColorInterpolator	2047	1	464	116
13	flare>animate>interpolate	flare	ColorInterpolator	2047	2	464	152
13	flare>animate>interpolate	flare	ColorInterpolator	2047	3	435	152
14	flare>animate>interpolate	flare	DateInterpolator	1375	0	365	116
14	flare>animate>interpolate	flare	DateInterpolator	1375	1	395	116
14	flare>animate>interpolate	flare	DateInterpolator	1375	2	395	139
14	flare>animate>interpolate	flare	DateInterpolator	1375	3	365	139
15	flare>animate>interpolate	flare	Interpolator	8746	0	464	116
15	flare>animate>interpolate	flare	Interpolator	8746	1	525	116
15	flare>animate>interpolate	flare	Interpolator	8746	2	525	189
15	flare>animate>interpolate	flare	Interpolator	8746	3	464	189
16	flare>animate>interpolate	flare	MatrixInterpolator	2202	0	435	152
16	flare>animate>interpolate	flare	MatrixInterpolator	2202	1	464	152
16	flare>animate>interpolate	flare	MatrixInterpolator	2202	2	464	189
16	flare>animate>interpolate	flare	MatrixInterpolator	2202	3	435	189
17	flare>animate>interpolate	flare	NumberInterpolator	1382	0	365	139
17	flare>animate>interpolate	flare	NumberInterpolator	1382	1	395	139
17	flare>animate>interpolate	flare	NumberInterpolator	1382	2	395	162
17	flare>animate>interpolate	flare	NumberInterpolator	1382	3	365	162
18	flare>animate>interpolate	flare	ObjectInterpolator	1629	0	365	162
18	flare>animate>interpolate	flare	ObjectInterpolator	1629	1	395	162
18	flare>animate>interpolate	flare	ObjectInterpolator	1629	2	395	189
18	flare>animate>interpolate	flare	ObjectInterpolator	1629	3	365	189
19	flare>animate>interpolate	flare	PointInterpolator	1675	0	395	116
19	flare>animate>interpolate	flare	PointInterpolator	1675	1	435	116
19	flare>animate>interpolate	flare	PointInterpolator	1675	2	435	137
19	flare>animate>interpolate	flare	PointInterpolator	1675	3	395	137
20	flare>animate>interpolate	flare	RectangleInterpolator	2042	0	395	162
20	flare>animate>interpolate	flare	RectangleInterpolator	2042	1	435	162
20	flare>animate>interpolate	flare	RectangleInterpolator	2042	2	435	189
20	flare>animate>interpolate	flare	RectangleInterpolator	2042	3	395	189
21	flare>animate	flare	ISchedulable	1041	0	259	6
21	flare>animate	flare	ISchedulable	1041	1	294	6
21	flare>animate	flare	ISchedulable	1041	2	294	21
21	flare>animate	flare	ISchedulable	1041	3	259	21
22	flare>animate	flare	Parallel	5176	0	259	37
22	flare>animate	flare	Parallel	5176	1	294	37
22	flare>animate	flare	Parallel	5176	2	294	111
22	flare>animate	flare	Parallel	5176	3	259	111
23	flare>animate	flare	Pause	449	0	259	0
23	flare>animate	flare	Pause	449	1	294	0
23	flare>animate	flare	Pause	449	2	294	6
23	flare>animate	flare	Pause	449	3	259	6
24	flare>animate	flare	Scheduler	5593	0	294	0
24	flare>animate	flare	Scheduler	5593	1	365	0
24	flare>animate	flare	Scheduler	5593	2	365	40
24	flare>animate	flare	Scheduler	5593	3	294	40
25	flare>animate	flare	Sequence	5534	0	259	111
25	flare>animate	flare	Sequence	5534	1	294	111
25	flare>animate	flare	Sequence	5534	2	294	189
25	flare>animate	flare	Sequence	5534	3	259	189
26	flare>animate	flare	Transition	9201	0	294	124
26	flare>animate	flare	Transition	9201	1	365	124
26	flare>animate	flare	Transition	9201	2	365	189
26	flare>animate	flare	Transition	9201	3	294	189
27	flare>animate	flare	Transitioner	19975	0	439	0
27	flare>animate	flare	Transitioner	19975	1	525	0
27	flare>animate	flare	Transitioner	19975	2	525	116
27	flare>animate	flare	Transitioner	19975	3	439	116
28	flare>animate	flare	TransitionEvent	1116	0	259	21
28	flare>animate	flare	TransitionEvent	1116	1	294	21
28	flare>animate	flare	TransitionEvent	1116	2	294	37
28	flare>animate	flare	TransitionEvent	1116	3	259	37
29	flare>animate	flare	Tween	6006	0	294	81
29	flare>animate	flare	Tween	6006	1	365	81
29	flare>animate	flare	Tween	6006	2	365	124
29	flare>animate	flare	Tween	6006	3	294	124
30	flare>data>converters	flare	Converters	721	0	0	397
30	flare>data>converters	flare	Converters	721	1	15	397
30	flare>data>converters	flare	Converters	721	2	15	421
30	flare>data>converters	flare	Converters	721	3	0	421
31	flare>data>converters	flare	DelimitedTextConverter	4294	0	0	421
31	flare>data>converters	flare	DelimitedTextConverter	4294	1	89	421
31	flare>data>converters	flare	DelimitedTextConverter	4294	2	89	445
31	flare>data>converters	flare	DelimitedTextConverter	4294	3	0	445
32	flare>data>converters	flare	GraphMLConverter	9800	0	0	445
32	flare>data>converters	flare	GraphMLConverter	9800	1	89	445
32	flare>data>converters	flare	GraphMLConverter	9800	2	89	500
32	flare>data>converters	flare	GraphMLConverter	9800	3	0	500
33	flare>data>converters	flare	IDataConverter	1314	0	15	397
33	flare>data>converters	flare	IDataConverter	1314	1	42	397
33	flare>data>converters	flare	IDataConverter	1314	2	42	421
33	flare>data>converters	flare	IDataConverter	1314	3	15	421
34	flare>data>converters	flare	JSONConverter	2220	0	42	397
34	flare>data>converters	flare	JSONConverter	2220	1	89	397
34	flare>data>converters	flare	JSONConverter	2220	2	89	421
34	flare>data>converters	flare	JSONConverter	2220	3	42	421
35	flare>data	flare	DataField	1759	0	23	329
35	flare>data	flare	DataField	1759	1	52	329
35	flare>data	flare	DataField	1759	2	52	359
35	flare>data	flare	DataField	1759	3	23	359
36	flare>data	flare	DataSchema	2165	0	52	329
36	flare>data	flare	DataSchema	2165	1	89	329
36	flare>data	flare	DataSchema	2165	2	89	359
36	flare>data	flare	DataSchema	2165	3	52	359
37	flare>data	flare	DataSet	586	0	0	329
37	flare>data	flare	DataSet	586	1	10	329
37	flare>data	flare	DataSet	586	2	10	359
37	flare>data	flare	DataSet	586	3	0	359
38	flare>data	flare	DataSource	3331	0	44	359
38	flare>data	flare	DataSource	3331	1	89	359
38	flare>data	flare	DataSource	3331	2	89	397
38	flare>data	flare	DataSource	3331	3	44	397
39	flare>data	flare	DataTable	772	0	10	329
39	flare>data	flare	DataTable	772	1	23	329
39	flare>data	flare	DataTable	772	2	23	359
39	flare>data	flare	DataTable	772	3	10	359
40	flare>data	flare	DataUtil	3322	0	0	359
40	flare>data	flare	DataUtil	3322	1	44	359
40	flare>data	flare	DataUtil	3322	2	44	397
40	flare>data	flare	DataUtil	3322	3	0	397
41	flare>display	flare	DirtySprite	8833	0	0	53
41	flare>display	flare	DirtySprite	8833	1	42	53
41	flare>display	flare	DirtySprite	8833	2	42	160
41	flare>display	flare	DirtySprite	8833	3	0	160
42	flare>display	flare	LineSprite	1732	0	0	23
42	flare>display	flare	LineSprite	1732	1	29	23
42	flare>display	flare	LineSprite	1732	2	29	53
42	flare>display	flare	LineSprite	1732	3	0	53
43	flare>display	flare	RectSprite	3623	0	29	23
43	flare>display	flare	RectSprite	3623	1	89	23
43	flare>display	flare	RectSprite	3623	2	89	53
43	flare>display	flare	RectSprite	3623	3	29	53
44	flare>display	flare	TextSprite	10066	0	42	53
44	flare>display	flare	TextSprite	10066	1	89	53
44	flare>display	flare	TextSprite	10066	2	89	160
44	flare>display	flare	TextSprite	10066	3	42	160
45	flare>flex	flare	FlareVis	4116	0	0	0
45	flare>flex	flare	FlareVis	4116	1	89	0
45	flare>flex	flare	FlareVis	4116	2	89	23
45	flare>flex	flare	FlareVis	4116	3	0	23
46	flare>physics	flare	DragForce	1082	0	6	160
46	flare>physics	flare	DragForce	1082	1	28	160
46	flare>physics	flare	DragForce	1082	2	28	185
46	flare>physics	flare	DragForce	1082	3	6	185
47	flare>physics	flare	GravityForce	1336	0	28	160
47	flare>physics	flare	GravityForce	1336	1	55	160
47	flare>physics	flare	GravityForce	1336	2	55	185
47	flare>physics	flare	GravityForce	1336	3	28	185
48	flare>physics	flare	IForce	319	0	0	160
48	flare>physics	flare	IForce	319	1	6	160
48	flare>physics	flare	IForce	319	2	6	185
48	flare>physics	flare	IForce	319	3	0	185
49	flare>physics	flare	NBodyForce	10498	0	43	213
49	flare>physics	flare	NBodyForce	10498	1	89	213
49	flare>physics	flare	NBodyForce	10498	2	89	329
49	flare>physics	flare	NBodyForce	10498	3	43	329
50	flare>physics	flare	Particle	2822	0	40	185
50	flare>physics	flare	Particle	2822	1	89	185
50	flare>physics	flare	Particle	2822	2	89	213
50	flare>physics	flare	Particle	2822	3	40	213
51	flare>physics	flare	Simulation	9983	0	0	213
51	flare>physics	flare	Simulation	9983	1	43	213
51	flare>physics	flare	Simulation	9983	2	43	329
51	flare>physics	flare	Simulation	9983	3	0	329
52	flare>physics	flare	Spring	2213	0	0	185
52	flare>physics	flare	Spring	2213	1	40	185
52	flare>physics	flare	Spring	2213	2	40	213
52	flare>physics	flare	Spring	2213	3	0	213
53	flare>physics	flare	SpringForce	1681	0	55	160
53	flare>physics	flare	SpringForce	1681	1	89	160
53	flare>physics	flare	SpringForce	1681	2	89	185
53	flare>physics	flare	SpringForce	1681	3	55	185
54	flare>query	flare	AggregateExpression	1616	0	148	263
54	flare>query	flare	AggregateExpression	1616	1	170	263
54	flare>query	flare	AggregateExpression	1616	2	170	300
54	flare>query	flare	AggregateExpression	1616	3	148	300
55	flare>query	flare	And	1027	0	202	236
55	flare>query	flare	And	1027	1	221	236
55	flare>query	flare	And	1027	2	221	263
55	flare>query	flare	And	1027	3	202	263
56	flare>query	flare	Arithmetic	3891	0	89	351
56	flare>query	flare	Arithmetic	3891	1	147	351
56	flare>query	flare	Arithmetic	3891	2	147	385
56	flare>query	flare	Arithmetic	3891	3	89	385
57	flare>query	flare	Average	891	0	150	236
57	flare>query	flare	Average	891	1	167	236
57	flare>query	flare	Average	891	2	167	263
57	flare>query	flare	Average	891	3	150	263
58	flare>query	flare	BinaryExpression	2893	0	89	300
58	flare>query	flare	BinaryExpression	2893	1	117	300
58	flare>query	flare	BinaryExpression	2893	2	117	351
58	flare>query	flare	BinaryExpression	2893	3	89	351
59	flare>query	flare	Comparison	5103	0	89	457
59	flare>query	flare	Comparison	5103	1	147	457
59	flare>query	flare	Comparison	5103	2	147	500
59	flare>query	flare	Comparison	5103	3	89	500
60	flare>query	flare	CompositeExpression	3677	0	184	300
60	flare>query	flare	CompositeExpression	3677	1	220	300
60	flare>query	flare	CompositeExpression	3677	2	220	351
60	flare>query	flare	CompositeExpression	3677	3	184	351
61	flare>query	flare	Count	781	0	89	236
